"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
75665.4,56438,80606,88.14,32.94,959.76,1.75766
114640,84478,85176.8,90.48,100.44,2237.58,1.76293
72954.1,52765,65385.8,95.94,88.56,2087.85,1.82292
118614,84771,66085.5,66.3,82.62,100.44,1.83134
80080.7,59409,85984.9,89.7,85.32,1982.76,1.83871
173764,126947,116769,178.62,161.46,2891.37,1.84923
98113.3,73772,72299.8,108.42,69.12,1388.49,1.8587
158252,109557,163866,202.02,188.46,3828.81,1.86186
88961.9,63143,92897.2,115.44,133.38,3791.61,1.86291
99284,62610,105493,121.68,100.98,2177.13,1.87133
49370.3,33942,109190,96.72,98.28,2439.39,1.88396
55298.4,36958,86110.4,83.46,78.84,1967.88,1.8987
127628,95610,73615.6,110.76,105.84,2951.82,1.90501
127676,96493,85756.3,113.1,139.86,83.7,1.90712
96280.5,61790,77247.3,89.7,65.88,62.31,1.90922
118604,85935,87647,128.7,146.34,4200.81,1.9229
84130.3,60336,88590.1,95.16,95.58,2892.3,1.93238
126929,80428,101188,156.78,168.48,150.66,1.9629
196460,125466,116612,219.18,69.12,1810.71,1.96711
113370,82628,76188.1,93.6,102.6,118.11,1.97869
125096,86351,101450,122.46,180.9,1979.97,1.97974
93312.4,66245,79741,95.94,106.92,1862.79,1.99026
150006,108783,110801,135.72,166.32,172.05,1.99763
94694.1,64422,113873,144.3,152.82,3273.6,1.99974
152035,110895,88612.7,119.34,100.98,1350.36,2.01552
113310,82113,114615,105.3,156.6,5046.18,2.03763
118893,85706,101774,123.24,124.2,3666.06,2.03973
151934,106216,105561,98.28,114.48,223.2,2.04815
156830,107474,102610,166.92,126.36,93,2.05657
105779,74669,128816,114.66,148.5,174.84,2.09025
127136,88420,113683,143.52,125.82,3270.81,2.14814
117810,85546,102302,126.36,90.72,85.56,2.17971
89177.6,65384,116920,152.88,158.76,2895.09,2.19655
145853,102196,103740,124.8,157.14,134.85,2.20603
128529,87959,83924.1,127.92,70.74,1102.98,2.20813
108188,83058,75823.8,102.96,76.14,1855.35,2.21866
98765.8,76158,75576.5,94.38,119.88,61.38,2.23339
96621.7,70362,89350.6,88.92,145.26,106.02,2.24286
121777,78743,144626,150.54,156.06,122.76,2.24392
145758,104927,101253,156.78,67.5,61.38,2.2797
93848.1,67442,90790.4,99.84,119.34,4942.02,2.28391
100107,76087,87548.8,114.66,109.62,108.81,2.3018
116812,80950,136886,148.98,179.82,4549.56,2.31338
134489,102410,104493,141.96,112.32,3981.33,2.32496
125455,86236,141093,191.1,73.44,2171.55,2.32706
106449,80134,95888.5,131.82,103.14,52.08,2.32811
128132,87892,116842,173.16,185.76,596.13,2.32917
107315,78995,88319.4,121.68,112.86,1467.54,2.34601
107449,82026,67530.8,99.06,92.34,148.8,2.35232
92845.5,65441,92318.5,137.28,138.24,1794.9,2.35443
84411.5,67602,86512.1,75.66,138.78,53.01,2.3639
134821,79736,145987,251.94,199.8,8614.59,2.37653
72673.7,55272,130531,159.12,142.56,3416.82,2.37758
127441,87562,150992,209.82,147.96,2382.66,2.40074
144581,96207,149817,241.8,181.44,3673.5,2.406
99648.2,78077,77989.1,134.16,173.34,1737.24,2.40916
143919,101974,100413,120.9,111.24,78.12,2.42389
74301.1,45315,85402.2,113.88,101.52,2372.43,2.42915
107864,68543,131700,114.66,118.26,1785.6,2.44178
103327,73320,151515,138.06,151.2,109.74,2.44599
77754.2,59471,82290,77.22,98.28,68.82,2.46704
114023,84002,77614.7,133.38,88.02,1942.77,2.47546
76229.5,56661,71166.4,103.74,65.34,2021.82,2.47862
64595.1,47306,94817.6,110.76,76.14,2424.51,2.48283
119647,94059,84690.8,115.44,109.62,126.48,2.50072
98616.5,57420,116987,149.76,41.04,1317.81,2.52809
172132,115162,105217,221.52,166.32,5129.88,2.55124
100980,65543,90461.3,122.46,221.94,826.77,2.56282
87940.4,61082,97315.9,145.08,106.92,1282.47,2.57966
91390.4,67925,101589,123.24,113.4,2360.34,2.58071
103434,69733,103082,109.98,119.34,2495.19,2.59019
109950,82620,82283.8,98.28,123.12,2623.53,2.60071
97283.8,71338,98127.9,94.38,130.68,1209.93,2.60071
106815,71751,107245,127.14,124.74,4080.84,2.60492
77783.4,59402,65966.2,123.24,72.9,1201.56,2.60703
111877,80558,79433.6,133.38,151.74,3674.43,2.61229
53136.2,39856,94187.3,84.24,143.64,87.42,2.63439
74207.1,53151,81101.3,76.44,92.34,77.19,2.63755
46904.7,32738,67098.7,92.04,71.82,1711.2,2.64386
155879,106154,126283,123.24,97.2,53.01,2.64912
128688,96192,83070,131.82,144.72,2344.53,2.65018
130619,88119,117124,120.9,248.94,157.17,2.71333
164785,116920,140113,209.82,151.74,1936.26,2.71543
119525,81837,80049.8,167.7,65.88,1394.07,2.71543
92807.6,67861,79382.9,107.64,126.9,76.26,2.75016
59340.1,44328,76904.9,72.54,108.54,2241.3,2.75122
140517,100208,104372,131.04,164.7,2829.06,2.75122
60878.2,42058,81161.3,78,94.5,2608.65,2.75437
129062,94250,74628.1,177.84,93.42,2917.41,2.75543
112269,76270,113821,135.72,156.06,2339.88,2.75543
182358,123531,113113,180.96,122.04,1594.02,2.76806
177888,122541,120117,204.36,190.62,2957.4,2.78805
146852,101384,111641,116.22,153.9,166.47,2.79332
87829,65391,79607.6,100.62,78.3,69.75,2.8291
94928,71127,90466.7,73.32,84.78,90.21,2.85226
85212.6,62826,86276.6,97.5,92.88,40.92,2.86383
95597.1,74368,76167,99.84,143.64,138.57,2.86594
155441,102867,130439,230.88,82.08,1701.9,2.88278
59877.3,44450,83994.3,93.6,109.08,125.55,2.90278
119875,93123,84657.3,92.04,110.16,95.79,2.90593
85730.8,63017,89732.8,100.62,97.2,2996.46,2.92277
112043,86012,78719.9,149.76,122.04,4258.47,2.92909
90609.8,60311,129598,120.12,119.34,132.06,2.93646
80856.5,60842,75943.9,95.16,79.92,2101.8,2.93856
125372,86798,112051,134.16,221.4,5111.28,2.94277
150813,95669,121930,172.38,108,147.87,2.95014
93908.9,64667,109219,149.76,125.28,3945.99,2.96382
109625,75019,83524.7,130.26,110.16,2846.73,2.98171
154158,104251,101714,164.58,186.84,900.24,2.98698
79138.2,58711,95263.7,88.14,69.66,1664.7,2.99013
90704.6,62891,105136,118.56,143.1,1926.03,3.00802
121291,90003,84644,109.2,116.64,1860.93,3.01224
99226.4,64447,96272.3,99.06,132.84,2646.78,3.01539
154680,113597,118816,162.24,145.26,1405.23,3.01855
180486,125579,118044,177.84,88.56,107.88,3.03434
108365,77279,98540.5,130.26,72.9,545.91,3.04276
79297.8,55518,78702.8,93.6,55.08,3773.01,3.06907
174291,115197,144385,195.78,199.26,161.82,3.0817
103654,78924,79012.4,117,79.38,1906.5,3.08591
76570.8,54994,92606.3,74.88,112.32,60.45,3.09328
141234,103844,91359.1,147.42,129.6,1924.17,3.09538
130598,92826,96620.9,103.74,186.84,128.34,3.09643
125957,86703,95670.9,114.66,96.66,92.07,3.10801
134433,101346,82658.9,114.66,115.02,119.97,3.11959
195349,140926,132313,170.04,173.34,3692.1,3.12906
96632,71496,76162.3,80.34,72.36,2375.22,3.14695
134874,93706,122905,172.38,144.72,2604,3.14906
110211,77300,124483,180.96,99.9,2981.58,3.15327
60558.2,38686,95671.7,82.68,99.9,1918.59,3.15432
59349.5,36767,101264,108.42,138.78,111.6,3.16169
170093,112886,116247,184.86,139.86,2149.23,3.16274
104843,67679,109417,125.58,120.42,97.65,3.16379
76175.8,53739,80037.4,74.1,46.98,46.5,3.18274
80723.8,54323,98792.5,104.52,96.12,3192.69,3.18274
163787,111164,124337,185.64,91.26,1577.28,3.18379
181856,116418,131733,218.4,134.46,2190.15,3.21221
83877.5,60891,92222.5,127.92,89.64,2379.87,3.22063
66791.3,50171,90991.7,92.04,70.74,1813.5,3.22273
81076.9,60474,80466.4,102.18,143.64,114.39,3.23536
115594,83237,120224,98.28,99.36,1722.36,3.23747
165351,115981,144528,155.22,162.54,191.58,3.24589
104569,79706,63981.1,96.72,78.3,891.87,3.2522
118320,85986,106922,134.16,111.24,1647.96,3.26062
95469.9,61566,113272,106.08,64.8,505.92,3.26062
104949,73351,101919,117.78,149.04,108.81,3.26378
98148,72951,89137.6,95.16,116.64,2378.01,3.27536
112221,78151,82066.1,91.26,128.52,2283.15,3.28483
100542,69851,115358,127.14,101.52,108.81,3.29746
163942,123510,109174,156,112.86,89.28,3.30272
76074.6,56814,80417.2,81.9,133.92,79.05,3.30693
105873,68901,110037,142.74,116.64,2966.7,3.33746
72518.1,49322,108078,136.5,92.88,1832.1,3.3764
97608.5,65179,79779.2,97.5,78.84,2085.06,3.38061
102535,75114,112146,139.62,136.62,2000.43,3.40797
85715,54876,131139,141.18,82.62,1543.8,3.4185
84526.8,65927,99783.8,124.02,147.42,1833.96,3.42271
119080,83374,129083,143.52,195.48,4154.31,3.42586
99265.1,76896,60735.5,88.92,82.08,1311.3,3.44797
102940,71278,91365.3,164.58,60.48,1340.13,3.45007
94860.8,57485,109048,127.14,123.12,1180.17,3.45533
104861,71657,115467,157.56,133.38,2573.31,3.45639
114466,88074,79772.2,100.62,99.36,2192.01,3.45849
86474.2,67427,61634,71.76,73.98,1620.06,3.46165
56408.4,37112,97538.2,87.36,136.62,1860,3.48059
82432.6,58737,111272,119.34,109.62,58.59,3.48586
81994.1,58779,85831.2,92.82,110.16,168.33,3.48691
91250.5,66694,79658.3,92.82,77.76,1341.06,3.5048
73725.2,53236,79031.2,78.78,103.14,104.16,3.52269
159770,91776,112192,226.2,138.24,2196.66,3.53532
100615,74159,83372.6,82.68,97.74,103.23,3.54374
114748,86210,81580.2,85.02,108.54,153.45,3.55006
74637.6,50395,91773.2,99.84,108,75.33,3.58584
155574,105275,120874,127.92,92.88,78.12,3.61637
89492,63177,97594.4,118.56,133.92,2847.66,3.62689
74700,56466,73859,63.96,97.74,53.94,3.63426
129235,93114,83873.4,117,78.84,66.03,3.64057
61207.6,50733,54785.6,51.48,64.8,886.29,3.64268
172812,116499,93790.3,195,92.88,1190.4,3.64584
162684,114913,121653,156,135,2071.11,3.65005
137974,95460,82354,131.04,118.8,1935.33,3.66057
132813,99980,153563,268.32,359.64,2638.41,3.66583
96110.6,73092,83503.7,110.76,63.18,48.36,3.67636
96347.6,71555,77510.9,117,90.72,1371.75,3.68373
100791,79314,78451.6,90.48,70.2,1343.85,3.6932
205140,127583,145635,219.96,136.62,1183.89,3.69951
101386,71582,84263.4,119.34,88.02,1974.39,3.70583
103530,77696,77186.5,105.3,98.82,1770.72,3.70583
95782,67182,100299,138.06,199.8,5294.49,3.70583
48788,34522,92646.1,120.12,73.98,2514.72,3.71214
62544.3,46916,84592.6,77.22,71.28,84.63,3.72583
60879.8,41167,98858.8,135.72,141.48,1381.05,3.75214
96831.1,70298,79301,70.2,87.48,91.14,3.76477
95956.6,64060,119898,158.34,129.06,2395.68,3.77845
122055,75503,98581.9,123.24,106.92,107.88,3.7795
93369.3,64034,76011,156.78,91.26,1435.92,3.79213
106101,74560,82459.3,120.9,82.62,1170.87,3.80792
113305,82613,72504.1,109.2,95.58,1312.23,3.84897
133424,92639,112231,139.62,64.8,829.56,3.85318
162294,106327,110485,346.32,136.62,3092.25,3.85423
