"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
273240,182682,92,244298,61,-6,33,2257,5,0.380282
151155,98897,92,202091,124,-21,-3,2848,-11,0.38128
395505,255021,103,313335,-26,-19,32,3543,78,0.382278
316602,225727,102,139164,-79,-22,5,120,52,0.383276
306984,212573,98,215437,54,19,49,2530,58,0.385272
334328,230766,104,229207,119,29,113,4768,58,0.387269
196578,137917,88,260310,-24,1,30,1882,-13,0.387269
427268,244028,109,463587,49,97,-29,9819,49,0.389265
235661,166425,99,190147,-50,53,-12,3781,15,0.390263
361026,219660,103,300005,127,18,36,4630,15,0.394255
304139,187237,103,313007,13,32,62,9000,-2,0.395253
256871,195842,88,166312,31,28,34,2965,45,0.396252
427926,262992,107,227528,86,18,-4,11232,37,0.403238
307998,224752,93,249717,48,3,72,259,-50,0.404236
432254,262953,109,426526,-22,-23,53,9749,41,0.406233
329799,204472,103,332882,108,21,-34,4009,-135,0.415216
365059,247894,107,221199,0,75,59,4273,89,0.419208
324270,231723,101,167363,-4,16,6,106,-56,0.425197
366883,231554,99,254941,65,81,55,1037,66,0.425197
377702,237252,99,230493,92,6,31,4832,-27,0.426195
292575,188622,101,207178,-48,57,17,5358,16,0.429189
375649,253204,107,181803,65,5,14,3363,-15,0.436176
336091,232695,102,160453,-17,74,54,263,173,0.440169
361248,237777,105,222842,-83,77,-37,3501,145,0.440169
388146,237467,104,333582,61,1,24,54,-31,0.447155
325167,230083,92,135642,8,10,20,6138,-22,0.448153
254597,188365,94,328224,28,32,-30,966,-17,0.452146
235323,184516,86,128014,-97,14,7,1838,35,0.454142
360391,231911,104,192282,-17,59,34,5188,43,0.459133
417584,252879,101,375082,-6,56,42,3736,-39,0.459133
378576,215394,112,211587,21,-6,-55,968,32,0.460131
208698,157950,94,135764,67,-45,26,691,28,0.464123
284842,197463,95,201982,12,67,73,3122,94,0.468116
272412,187196,95,270055,45,-49,18,6257,6,0.469114
317884,218096,95,241532,52,32,73,3961,-14,0.477099
389836,275074,95,304968,174,107,-8,5964,111,0.481091
365300,229915,104,271073,91,26,-10,6351,9,0.484086
306700,182345,100,225708,93,-7,109,2421,122,0.493069
370458,243799,100,198974,-19,-64,12,4602,85,0.497061
355109,243023,102,223766,33,36,-43,71,93,0.500055
328237,229011,101,180099,51,5,-20,427,97,0.502052
241210,173089,97,254920,124,69,16,5603,-22,0.510037
423892,271240,117,341301,89,79,77,4884,10,0.510037
284655,176849,97,325457,-15,14,2,4831,-48,0.514029
354997,230641,97,301709,-43,130,-29,2874,31,0.516025
331525,220668,102,228837,126,-29,45,1890,109,0.517023
356856,229472,99,249933,158,41,32,5913,217,0.518022
304651,209383,95,426367,524,143,125,5061,350,0.523012
321043,208676,106,242398,96,96,51,8488,67,0.52401
214688,135354,104,374960,8,-7,25,5111,-41,0.526006
411852,253099,104,214346,70,63,-35,4012,140,0.526006
259824,192439,89,224959,-4,-29,-11,176,-1,0.527005
316933,210758,99,228165,-71,55,14,8105,3,0.528003
382299,244684,107,461161,83,38,61,2806,74,0.536986
371492,216174,105,350532,73,-56,45,5599,147,0.536986
314116,219540,93,267627,-11,17,-31,5949,40,0.536986
419506,256689,112,270435,115,-9,11,6218,38,0.53998
234083,153575,96,207797,20,36,7,1984,62,0.53998
426105,233589,112,418890,22,21,36,5888,53,0.541976
265677,191475,92,229668,1,23,62,1943,3,0.545969
355139,242036,97,262975,33,-2,27,109,-1,0.551957
337445,233367,96,316348,96,-28,67,8388,55,0.559942
483551,255367,112,476590,49,-39,10,10126,88,0.57192
346901,225654,104,205260,30,18,13,1852,-91,0.573916
328465,207972,105,262538,36,47,133,5542,49,0.575912
253023,190513,89,117977,39,-47,-10,11368,59,0.581901
