"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
355475,228434,99,264649,87,25,52,3742,49,0.00306163
365262,238796,98,277755,179,7,-29,5503,7,0.022452
286317,193989,97,252516,-23,-33,-5,3321,52,0.022452
374230,241744,104,204227,7,82,66,5168,48,0.0275547
345547,246596,94,194537,40,41,-64,3184,-36,0.0306163
223653,143349,97,345920,68,38,18,6926,7,0.033678
454512,284253,108,335623,-13,45,59,9266,35,0.033678
306266,189372,106,333833,99,-40,25,2489,214,0.035719
442584,268608,113,429828,111,49,75,90,72,0.046945
421978,228347,117,458239,174,139,37,350,204,0.0622532
356232,232386,104,181731,86,-27,27,4591,22,0.0632737
295115,196756,99,273145,-11,-14,-7,3026,45,0.0653148
204355,149964,88,160201,63,50,6,77,-33,0.0673559
349430,234938,101,164267,78,0,36,4062,34,0.0714381
229366,146933,95,278690,180,24,-47,3145,-31,0.0765408
353573,239717,107,275228,73,48,6,5105,13,0.0826641
378809,243687,104,177116,-89,37,42,4273,-41,0.0959311
459209,289451,104,369558,8082,398,267,323,44592,0.102054
426058,264824,113,348119,99,4,-1,8095,31,0.103075
327987,207271,108,334301,59,37,36,6646,43,0.106137
360085,241360,102,225753,-19,63,76,6024,-25,0.109198
333070,202954,108,135913,39,19,-14,778,-30,0.111239
266236,120770,123,181910,-21,7,86,5041,-21,0.117363
273883,190816,102,175012,-80,-8,85,3682,-55,0.120424
316768,190479,111,273746,-44,-30,45,2620,-52,0.147979
280410,198177,98,149461,18,9,-10,4762,-29,0.148999
431205,273951,107,321109,-99,40,33,10020,43,0.148999
297941,193000,98,291579,134,25,31,207,-55,0.159205
356841,225219,109,159510,-29,20,74,-73,50,0.170431
416828,267663,106,383841,115,29,108,7309,184,0.172472
337859,176093,104,458190,50,-14,17,5391,-22,0.184718
380676,235252,102,255299,-11,83,72,6611,51,0.190842
439792,275336,116,246706,25,56,43,7550,17,0.194924
336286,225720,106,247036,98,78,-97,-26,-11,0.200027
408929,235020,104,310577,28,10,-1,6301,-70,0.201047
441758,285820,112,403614,-19,-40,90,215,-14,0.219417
341373,217514,100,344322,98,-16,26,87,71,0.221458
372732,240093,101,319068,55,62,140,45,104,0.228602
438657,261798,114,463822,1,14,15,2627,104,0.235746
393561,255250,99,273691,49,-55,-21,2509,60,0.238807
381373,249654,106,303297,4,65,45,107,-143,0.242889
216073,137258,94,257308,99,-77,31,3799,-1,0.24391
291688,194466,99,203526,93,90,11,159,-46,0.267383
407128,271845,102,231777,19,66,50,5878,116,0.271465
420735,274117,102,310237,115,-22,51,6156,-72,0.276567
402721,256926,109,244232,-4,-18,82,3668,104,0.276567
401508,263459,101,232381,13,3,26,6649,34,0.286773
362464,252658,106,237673,57,-41,37,40,85,0.290855
339834,217644,99,209822,56,31,4,1126,-30,0.304122
453224,273800,106,332448,81,-17,26,8296,68,0.306163
342794,238502,94,244754,-4,95,3,8342,109,0.306163
292415,180271,96,177013,39,16,16,6636,-16,0.322492
288243,181417,99,231300,69,1,25,1583,-39,0.324533
340456,193820,104,80548,88,28,-35,8972,-91,0.328615
442383,224988,117,377286,58,23,92,7718,40,0.340862
230347,179251,89,114504,72,46,46,1630,32,0.343923
385634,237543,107,233579,12,14,-23,6048,-3,0.343923
320188,226036,92,144177,52,61,-20,3167,-8,0.354129
183605,125917,91,338739,109,-16,-8,2561,26,0.360252
399723,266706,108,255868,-2,43,0,6003,53,0.37556
313069,191437,102,298786,95,36,-3,2983,45,0.379642
325095,233244,94,222988,109,44,61,95,108,0.396992
305249,215395,97,185529,-10,48,21,66,-27,0.402094
391652,239091,104,313357,-13,38,40,13271,-25,0.4123
306610,201942,98,229000,111,3,-5,4839,58,0.421485
406340,217495,109,318330,105,63,52,3006,-27,0.426587
309857,228617,102,182066,0,-73,9,5659,-66,0.428628
304330,202008,96,298758,-77,21,95,3902,41,0.437813
296247,204563,95,179263,96,57,61,2116,25,0.458224
327058,232093,97,205182,-2,2,50,4437,-22,0.458224
462518,239076,111,584808,4,74,137,7713,88,0.462306
232643,153092,96,211160,-17,42,6,3770,78,0.504149
413203,263361,102,350768,82,-17,63,9304,64,0.520477
349180,231537,97,234651,173,39,91,3401,140,0.529662
430501,254040,115,371602,44,20,-42,175,156,0.532724
305894,215827,99,180876,37,-17,41,6369,77,0.539868
