"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
75189.8,58702,56292.6,1523.34,4247.64,115.32,0.859824
139031,108240,95374.5,430.56,2469.42,190.65,0.859824
107465,78900,92094.6,1950,28111.9,202.74,0.864813
136120,104466,91023.7,2344.68,16376,155.31,0.864813
102435,78298,98361.9,3059.16,22907.3,159.96,0.864813
103837,79973,84725.2,4740.84,33452.5,178.56,0.866477
114461,86894,75280.1,1883.7,12198.1,156.24,0.866477
121376,83519,71197.6,2996.76,21638.3,171.12,0.86814
130197,92606,93564.9,2312.7,18335.7,119.97,0.86814
140724,104918,103651,1113.06,6944.4,269.7,0.869803
118423,90798,70486.3,1582.62,10105.6,169.26,0.869803
116103,89395,139590,1992.9,9062.82,189.72,0.871466
100177,77743,71871.5,94.38,258.12,227.85,0.871466
134006,90282,125280,3358.68,24268.1,207.39,0.871466
127379,98026,92217.1,886.86,6860.16,106.02,0.873129
97309,79189,63881.2,1141.92,8582.76,122.76,0.874792
95563.9,71744,95164.7,1535.04,5910.3,161.82,0.874792
122771,96541,77417.3,945.36,8657.82,150.66,0.874792
119819,96625,72070.4,737.1,10824.3,149.73,0.876455
166684,118893,123166,3895.32,28911.6,336.66,0.876455
112032,87877,94033.7,2637.96,18483.1,173.91,0.878118
126577,95434,89669.6,3922.62,26768.3,135.78,0.878118
120229,97485,85579.3,1798.68,13970.3,232.5,0.879781
86320.1,72184,54888.6,2215.2,16722.7,90.21,0.879781
117464,85087,87709.4,3286.92,24773,288.3,0.881444
98603.9,77278,84928,2665.26,20540.5,173.91,0.883108
152522,114568,109014,804.18,10041.8,224.13,0.883108
109278,88135,74174.9,1322.88,10671.5,119.04,0.884771
132817,95970,87064.4,1641.9,13613.9,305.04,0.884771
102712,80555,62799.4,3116.88,22082.2,134.85,0.886434
167922,123354,116715,4521.66,30817.3,246.45,0.886434
122263,92555,82622.3,874.38,7075.08,253.89,0.886434
170276,121180,112542,2685.54,8496.36,133.92,0.886434
140396,102758,115359,1430.52,10744.9,267.84,0.888097
103601,80145,65269.6,1641.12,9683.28,196.23,0.891423
137281,107127,76894.7,3500.64,25766.1,113.46,0.893086
113898,87066,82041.2,1424.28,12621.4,119.04,0.894749
123340,92605,103537,3279.12,22716.7,181.35,0.896412
121542,90583,85016.1,489.84,7959.06,179.49,0.898076
76911.2,64196,62700.3,1813.5,11747.2,104.16,0.898076
186408,147178,120141,4815.72,32965.9,238.08,0.899739
109912,84745,70998.7,2924.22,22216.7,146.01,0.899739
104665,80222,80767.4,1541.28,15967.8,165.54,0.901402
64019.2,53735,75407.3,404.82,3411.18,99.51,0.904728
107745,85161,76474.3,1415.7,21749,202.74,0.906391
151217,117307,117847,3020.16,18465.8,146.94,0.908054
128431,98331,79039.7,2373.54,17386.9,216.69,0.909717
107467,83706,68179.8,2797.86,21018.4,120.9,0.909717
99995,77239,67321.8,813.54,11004.1,157.17,0.909717
82303,67959,58655.2,2311.92,16299.4,114.39,0.909717
125907,93659,93610.9,3530.28,27365.6,237.15,0.913043
114854,94107,76272.3,1042.86,6240.24,150.66,0.913043
116644,95242,71991.7,2753.4,19394.6,129.27,0.913043
88060.5,68264,77306.6,2368.86,18172.6,110.67,0.913043
132767,104587,93314.5,3573.18,24861.1,161.82,0.913043
111796,86760,65213.5,1066.26,4932.9,126.48,0.914707
116061,90220,86070.7,1411.02,13546.4,252.03,0.914707
120667,93382,86258.6,1765.14,13145.2,156.24,0.914707
106154,79146,104199,3084.12,24006.8,184.14,0.914707
109507,87847,69887.2,2446.08,18270.4,161.82,0.914707
97794.1,79323,64066.9,537.42,3970.62,153.45,0.91637
99280.9,79450,72282.6,518.7,4209.3,123.69,0.918033
126249,97701,91428.5,608.4,7610.22,231.57,0.918033
82349.6,65403,62953,1930.5,12621.4,89.28,0.919696
145001,106367,120381,4062.24,29657.3,295.74,0.919696
136649,104519,95735.6,818.22,7382.34,184.14,0.921359
123724,100447,80615.3,1737.06,12519.4,184.14,0.921359
116376,90105,95248.1,2547.48,18849.2,184.14,0.921359
114919,92175,72792.7,1964.04,13795.4,132.06,0.923022
99726.4,77332,78581.1,3108.3,26076.1,219.48,0.923022
87568.3,70782,59779.2,2190.24,16927.9,114.39,0.924685
104454,76163,99427.4,1883.7,15782,241.8,0.924685
165559,117007,123322,911.04,10816.7,265.05,0.924685
124021,93318,91675.7,2899.26,22377.1,199.95,0.926348
114779,90259,80221.4,1324.44,10357.7,146.01,0.926348
100832,84595,69058.9,2751.06,17979.3,135.78,0.928011
104734,76103,95796.5,2641.86,14409.9,257.61,0.929674
148688,111965,92246.7,1979.64,10219.5,193.44,0.931338
109340,84233,96979,2633.28,19881.2,249.24,0.933001
109236,89089,94609.3,1217.58,9840.42,128.34,0.933001
124967,95300,88900.5,1890.72,10606.1,281.79,0.934664
103964,83780,64088.7,726.18,5880.6,122.76,0.934664
130426,95994,113033,1381.38,11329.7,113.46,0.936327
91014.3,71059,67409.9,1365,11884.9,199.02,0.93799
108967,73066,70248.4,1767.48,13729.5,217.62,0.93799
123588,93320,84006.8,2109.12,16700,213.9,0.93799
138893,105647,85398.3,2783.04,19066.3,193.44,0.93799
161534,122940,103568,3412.5,25569,239.01,0.93799
126763,84003,95229.4,1989,11909.7,196.23,0.939653
90038.7,71218,66062.9,2212.86,16111.4,197.16,0.941316
88422.3,68266,81364.9,2035.8,21344,199.02,0.942979
126648,97408,96737.9,1661.4,13331,152.52,0.944642
156398,110726,118231,2054.52,20144.7,324.57,0.944642
125984,88666,116842,3792.36,29827.4,241.8,0.944642
143639,103103,99010.9,3708.12,18728.3,175.77,0.946306
93491,75063,66725.1,941.46,7579.44,136.71,0.946306
100870,78046,70611.8,1628.64,12717,163.68,0.947969
168734,117783,125739,5492.76,16267.5,111.6,0.947969
89631.8,71858,66744.6,53.04,148.5,92.07,0.947969
105335,86308,59594.3,1864.2,13336.9,171.12,0.949632
124684,95391,73331.7,555.36,9413.82,166.47,0.951295
98516.2,78104,60823.6,2595.06,19581.5,119.97,0.951295
133215,100072,102600,3916.38,20119.3,101.37,0.952958
167587,108759,107534,3666.78,23247,148.8,0.952958
172722,125284,117312,2143.44,12818,203.67,0.952958
