"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
153226,109547,121196,141.96,179.82,475.23,1.31405
152011,107557,109615,161.46,1676.7,387.81,1.32214
104129,82852,95001.7,276.9,4972.86,156.24,1.32329
104100,64669,108329,145.86,6173.28,300.39,1.33138
44745.6,38134,79804.9,23.4,85.86,4.65,1.33369
130583,91551,134137,131.04,191.16,350.61,1.336
144704,110792,113155,119.34,162.54,281.79,1.34063
107976,82727,103008,78,1089.18,354.33,1.34872
49803.2,39031,98556.9,49.14,111.24,16.74,1.3545
54807.8,46099,126901,17.16,71.28,-4.65,1.36259
77802.4,61495,95542.2,99.84,33444.9,247.38,1.36605
89981.8,68818,75461.1,85.8,1601.64,260.4,1.36952
112167,84823,79237.1,88.92,9293.4,318.99,1.37068
129600,96952,87698.5,106.08,4450.14,388.74,1.37414
93422.2,72602,89513.6,234.78,6811.56,242.73,1.37877
91552.3,72663,58971.9,99.06,719.28,243.66,1.39032
66850.6,54047,51006.5,163.02,5597.1,14.88,1.39495
136207,98654,116480,166.14,1706.94,306.9,1.40072
87827.5,66450,65248.6,80.34,2572.02,210.18,1.40535
64310,47573,94754.4,109.2,3934.44,189.72,1.41922
126138,92755,95296.5,109.2,2253.96,370.14,1.42499
183882,132816,112608,166.14,646.92,228.78,1.42846
99942.9,83514,64330.5,58.5,18175.9,178.56,1.42962
101472,80778,80258.1,119.34,558.9,186.93,1.45042
141184,102172,121585,129.48,156.6,82.77,1.45042
153318,107054,114991,1191.84,19033.9,362.7,1.45273
61168.9,48238,79975.7,72.54,10958.8,229.71,1.46544
90526.1,66946,61676.2,79.56,574.02,236.22,1.47931
94780.2,73438,76383.8,85.8,1094.04,312.48,1.50589
119285,85591,91236.6,133.38,1131.84,371.07,1.50705
124248,92455,95935.3,112.32,418.5,307.83,1.52323
134856,91695,86856.9,125.58,1418.58,273.42,1.53594
91966.3,71608,66994.2,95.94,113.4,256.68,1.53825
78973.9,58918,79546.7,74.88,153.36,173.91,1.54519
107894,73499,104995,91.26,1638.36,272.49,1.5475
109663,78042,102965,106.08,3034.8,268.77,1.56137
133252,93151,115022,132.6,4804.92,379.44,1.56484
53221.5,45335,85637.8,4.68,11.88,-0.93,1.57061
131251,95303,103374,126.36,3587.76,345.96,1.57524
141284,99572,100558,160.68,3464.1,217.62,1.57524
112471,87607,74917.4,99.84,656.1,124.62,1.57639
126711,87219,151783,113.88,3586.14,436.17,1.58217
183792,125634,129613,173.94,362.88,328.29,1.59142
94988,77611,68730.5,85.02,11497.1,173.91,1.60413
113745,87094,72888.7,200.46,7475.76,176.7,1.60644
97127.3,74926,74265.4,93.6,289.98,165.54,1.61222
53434,45792,107507,17.16,54,-1.86,1.63071
120628,97446,75722.4,94.38,460.08,158.1,1.63187
72758.2,53374,98328.4,112.32,972,140.43,1.63418
150873,105442,124189,121.68,346.14,403.62,1.63649
105758,82047,103041,170.82,447.12,401.76,1.65036
143735,105977,82244.8,144.3,633.96,367.35,1.65498
89069.3,68890,71497.9,88.14,11000.9,199.02,1.66307
