"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
234330,138418,101,388814,-6,50,6,4345,32,0.00202525
188331,111746,97,314855,-44,-29,-14,3058,-59,0.00303787
180992,110739,96,329234,161,22,26,3550,97,0.0040505
278550,152853,111,613242,94,119,88,4290,29,0.00506312
215106,131132,100,359950,162,13,60,6442,27,0.00708837
284966,192555,104,369445,92,84,-8,4434,79,0.0151894
236887,145413,96,422929,68,89,37,6850,117,0.0151894
260579,168620,99,310811,72,26,21,4494,61,0.0151894
310646,205343,99,265527,-103,15,57,8496,63,0.0172146
362569,238472,104,249810,14,24,19,3791,-37,0.0232904
283791,198614,103,236654,15,13,-39,2799,-22,0.0232904
209832,121396,98,295945,54,-8,-2,4856,78,0.032404
144124,82516,89,411704,37,-26,1,3326,105,0.048606
203227,123646,96,344291,31,6,-40,349,20,0.0536691
210813,142206,92,328449,71,11,28,3496,-3,0.0536691
161894,88092,95,474236,109,59,65,5824,40,0.0536691
242481,134440,109,379591,73,37,57,8843,22,0.0556943
186030,114736,101,341516,39,1,42,11,86,0.0556943
250490,162525,99,513644,-49,65,82,143,1,0.0556943
195762,127386,96,352967,-30,94,-64,3523,-9,0.0567069
219488,125166,97,349478,119,42,34,6115,-84,0.0607574
316589,202369,98,444063,-45,21,60,4630,-34,0.0617701
151900,88319,91,418825,40,109,30,3143,41,0.0688584
117123,101655,75,196661,0,44,13,3186,71,0.0688584
228888,163874,89,231470,64,85,127,1941,82,0.0688584
281424,152036,112,512214,70,85,17,5446,71,0.0708837
146835,90187,89,431034,33,86,17,4300,41,0.0830352
218466,119841,97,462127,69,-43,121,6890,25,0.0830352
150658,108344,85,287375,-10,66,-55,9442,41,0.0830352
251822,165851,96,326812,170,93,-11,5147,91,0.0901235
137092,72927,96,458142,40,8,18,2229,91,0.0901235
307303,161676,112,578450,-65,41,34,159,104,0.0931614
286407,194299,105,277090,60,45,86,307,85,0.094174
319994,184690,109,474869,70,-27,60,5959,70,0.0961993
186731,111332,97,454026,110,56,71,6267,48,0.0961993
109076,77946,80,194396,69,21,-35,1231,-26,0.0961993
357734,214492,111,443357,71,79,56,260,-30,0.0992372
211179,134950,102,399749,111,35,1,4134,-21,0.10025
338917,207067,109,352893,171,49,-38,5687,14,0.101262
188119,125579,99,284444,94,-14,38,4835,-6,0.103288
106193,54394,96,285067,-31,53,41,30,-43,0.103288
165677,96130,98,694835,220,96,27,2000,63,0.107338
227668,118413,103,556947,-35,33,-42,5775,-15,0.107338
211135,122874,98,431459,14,33,98,4930,-2,0.107338
253531,160579,97,415639,-1,58,41,4796,73,0.107338
324166,181346,117,779839,57,85,64,15224,33,0.108351
168773,96073,98,414995,88,10,85,3731,4,0.109363
343818,231578,101,337467,17,32,36,236,135,0.111389
127217,74689,96,355523,-38,30,-21,3303,61,0.116452
327822,202305,111,425117,85,-25,46,5283,45,0.11949
210966,148319,89,257603,78,17,80,4495,135,0.125565
310436,199866,103,320025,40,44,2,4237,-44,0.125565
406796,242866,112,392532,57,124,20,7513,126,0.128603
337474,189310,107,549112,165,173,204,6313,55,0.134679
352202,193071,118,497633,97,36,72,5052,79,0.140755
230608,132690,103,410151,19,8,39,4985,53,0.14278
307576,181416,105,286920,52,77,26,53,118,0.14278
263223,161440,107,419512,61,69,-4,4225,47,0.145818
262978,148312,103,522487,21,68,109,5134,159,0.150881
205123,104869,106,555568,94,32,24,4427,113,0.150881
141259,88308,90,342866,96,55,42,4698,22,0.150881
159327,96389,92,381935,55,20,23,2962,-4,0.153919
137255,77777,92,246656,-1,-1,47,4577,116,0.153919
161924,84767,98,462967,69,-8,38,5400,-22,0.159995
234157,174574,92,231019,38,71,60,5116,2,0.161007
240507,134521,107,405732,36,66,4,4975,-28,0.164045
320027,221295,101,374506,160,-28,-6,4974,1,0.164045
281231,180648,105,290739,-39,105,29,12193,69,0.165058
249014,156532,99,323560,17,46,58,4557,124,0.168096
162413,138106,82,115410,63,89,-44,154,-61,0.168096
294498,180756,108,486352,75,15,7,6059,3,0.168096
262941,136162,113,726420,86,97,98,9489,88,0.173159
279391,207970,95,311160,70,55,14,4161,3,0.173159
264396,163672,100,309121,-1,52,-28,4361,53,0.173159
243227,119957,105,574805,37,79,30,9527,13,0.176197
271785,189703,97,177937,56,66,16,3507,53,0.176197
119306,75394,94,407771,35,47,28,3275,64,0.177209
131450,92872,84,148444,46,22,-2,1036,-12,0.177209
279987,172791,105,306277,75,80,-41,3931,-3,0.182272
190896,117320,92,414114,53,24,84,9067,37,0.182272
108225,66231,87,337970,59,-17,-35,2896,5,0.2005
290086,155867,102,559061,22,9,44,5826,91,0.203537
205279,137640,89,308626,33,90,59,2765,68,0.203537
308900,182402,108,381653,105,-17,-31,174,49,0.203537
217121,115256,107,518083,69,98,93,10654,-32,0.207588
128115,85304,90,285356,-48,45,-11,2603,96,0.207588
319952,190156,106,493383,111,75,42,5390,17,0.214676
214562,146330,101,345339,-12,87,103,2754,11,0.216702
223338,126648,108,551640,-85,83,114,6616,-14,0.217714
236597,153454,103,262517,84,27,-16,2815,21,0.22379
212162,121452,97,355209,-26,96,-50,4670,87,0.22379
343022,234809,104,298148,3,36,-11,5676,109,0.236954
198419,117924,100,396527,67,12,-15,4112,75,0.236954
395713,204549,110,709994,112,48,70,17813,20,0.236954
176114,96820,98,340867,59,75,-29,3618,59,0.236954
220898,138685,103,343532,51,37,100,8209,9,0.237967
233266,150034,102,413481,35,82,72,7212,78,0.238979
411786,234983,110,719047,166,123,103,16266,167,0.252143
373160,232148,100,672186,130,37,78,11295,83,0.253156
217144,141352,91,189919,-53,-36,-25,49,16,0.253156
320345,189964,102,308361,-61,75,47,6718,-10,0.253156
181623,113664,102,372762,28,35,8,5014,-27,0.253156
218255,136505,104,412967,161,57,47,3224,-35,0.263282
235677,154810,98,340310,-39,38,-1,4173,90,0.264295
191154,101017,101,542837,55,30,-21,139,-57,0.26632
244345,141566,100,451017,5,-17,44,6578,29,0.274421
135217,103607,92,432178,53,79,102,679,120,0.274421
204611,127935,99,300235,36,25,31,2951,33,0.284547
387258,252457,107,243045,95,-13,13,6961,30,0.284547
192487,114703,103,346067,45,34,107,52,55,0.284547
400018,236474,105,475640,177,56,89,7940,-50,0.288598
234790,158725,100,401639,54,18,67,6277,86,0.28961
206555,143667,95,376588,71,57,0,4010,54,0.28961
240095,147531,101,411710,60,92,48,8118,35,0.28961
143782,69095,100,695231,110,95,111,423,31,0.295686
278980,163149,104,269089,18,-1,46,6163,29,0.301762
177977,103261,96,385808,102,53,60,1127,78,0.301762
223828,121810,101,517485,220,92,170,5755,159,0.302775
219322,140035,94,297263,51,71,17,3270,-78,0.302775
238847,175236,99,157289,104,30,41,128,-11,0.305812
123774,70035,95,376697,57,-15,-4,5821,16,0.306825
132024,89459,85,316758,44,32,42,2611,69,0.313913
185089,99717,102,411920,118,22,-17,3930,-2,0.314926
181548,115793,92,294022,-5,6,55,3425,41,0.316951
298696,204448,104,294369,27,52,28,3766,107,0.321002
118236,62858,96,446649,23,57,20,6159,-15,0.322014
240203,134255,103,511087,54,34,63,6911,-90,0.330115
170641,119129,89,219482,43,17,17,146,-101,0.330115
131103,90687,93,231082,167,-16,-36,2654,-15,0.331128
237592,144288,106,445110,55,-16,27,4266,130,0.338216
236548,149114,102,273515,-20,-54,-39,3642,99,0.341254
151319,99557,93,299757,81,69,28,6076,-13,0.351381
188600,97670,102,617216,7,54,44,7289,73,0.353406
157659,101863,91,381340,-56,35,1,5366,12,0.353406
317781,182923,111,468626,118,114,40,4863,63,0.358469
174485,121553,87,234079,74,-15,42,2526,53,0.359482
213920,110400,108,684551,100,-15,38,86,31,0.362519
216854,109428,110,440550,14,-63,27,7863,-4,0.36657
249366,190959,93,214650,96,11,26,3442,-86,0.369608
158488,101427,89,310376,-11,-58,48,5257,-11,0.381759
166418,111112,92,331638,57,-15,50,4350,-14,0.381759
215115,154278,91,221906,24,21,-19,4010,-9,0.381759
151668,89081,91,337764,59,71,23,4165,-15,0.394923
309989,222025,104,322076,42,137,93,505,85,0.394923
216953,129213,99,380196,39,47,-21,3499,43,0.398974
273258,197270,92,167028,68,40,-31,2764,-117,0.398974
197146,116799,102,493206,16,67,66,6412,80,0.404037
224162,155742,87,174435,-27,78,39,4911,32,0.410113
170902,116702,88,240735,-109,-8,-3,2989,-26,0.410113
131457,74109,100,402277,111,-37,57,2984,49,0.420239
162246,107431,93,312201,3,-111,21,2903,-55,0.423277
215877,100208,103,529854,118,-58,69,5217,-54,0.440491
350457,175101,116,754791,17,87,31,6445,137,0.440491
246616,143110,108,482626,7,36,38,4729,63,0.441504
192227,116104,102,319505,69,16,-8,363,3,0.445555
206100,127252,94,248244,-51,17,47,4703,20,0.445555
302330,193794,105,327423,-14,96,31,6551,109,0.452643
150561,100540,91,267396,47,30,36,2652,73,0.453656
207744,111601,110,498622,145,55,17,5725,-87,0.454668
139339,113571,89,238068,-30,20,57,1091,8,0.469858
