"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
249825,152007,105,341892,-17,39,110,5514,-61,0.0283563
421550,263822,106,562067,69,126,57,13012,-28,0.0313945
279012,185993,95,426290,34,64,-9,183,54,0.0364582
193172,83663,108,758694,100,83,71,7098,144,0.0405091
214002,145749,92,275581,8,32,17,3552,50,0.0405091
259462,147844,106,599850,2369,245,230,330,31582,0.0425345
309959,224132,97,243843,-14,21,-10,3750,33,0.0475981
396885,240975,106,363361,94,21,-15,257,27,0.0496236
171672,113341,90,372033,195,1,73,4219,116,0.0567127
325415,193690,109,532349,80,7,-7,13519,34,0.0617763
151121,105265,85,265708,122,10,17,4236,-80,0.073929
297744,176625,100,481776,-21,-31,26,9901,3,0.073929
118002,101160,87,308620,756,261,326,1077,513,0.0789927
175646,106332,97,460625,-14,46,31,186,141,0.0820309
237905,179404,98,204363,-109,22,20,4200,90,0.0891199
189723,120425,101,386428,58,46,62,4406,22,0.0941836
235505,105693,111,708264,161,53,27,5995,14,0.0982345
173707,87328,100,448443,74,119,55,4747,-35,0.107349
242106,142635,103,439540,96,-10,57,8354,51,0.112413
305194,191313,103,281415,38,82,40,64,21,0.115451
350874,205512,113,476853,58,64,-52,7115,-32,0.129629
152235,89411,100,447972,43,47,46,4555,184,0.140769
191352,123751,92,280945,37,24,-27,-13,-59,0.140769
241878,153302,104,452004,135,-18,11,5661,11,0.147858
189520,108227,99,424976,34,102,-1,8917,5,0.150896
305277,200433,105,206481,65,69,23,6103,62,0.150896
239838,165499,93,272171,-43,8,13,133,38,0.151909
206018,121891,100,315865,47,75,-57,4255,-34,0.162036
230168,128691,99,479913,106,31,44,4035,122,0.184316
166656,96954,95,327917,11,24,63,3055,29,0.190393
205906,118571,99,419301,-29,73,43,3650,71,0.190393
195480,109584,98,502057,142,41,8,11506,27,0.191405
134676,84301,97,294143,49,9,-38,3692,1,0.196469
372164,190999,113,673239,72,69,97,8570,36,0.199507
309356,192328,103,342416,-82,-41,56,4206,10,0.199507
181719,118283,94,281820,109,8,17,3027,-11,0.209634
190667,115433,95,281205,61,11,7,4436,20,0.209634
242708,111983,113,564150,-7,99,93,7651,51,0.220774
202761,131270,94,339973,-38,36,89,4534,90,0.231914
315377,180272,106,570870,30,43,28,16271,93,0.231914
259992,175565,103,338516,-97,13,38,161,174,0.239003
256680,164794,99,522955,85,117,-37,3672,-23,0.24508
282110,205074,93,222655,-7,-27,-5,4671,48,0.24508
219164,132528,97,368120,8,47,26,8415,33,0.24508
319910,190472,101,475075,80,31,112,8606,71,0.246093
257883,162930,101,307746,69,51,61,4124,87,0.248118
260382,157019,101,386377,29,50,35,3771,-4,0.265334
240333,145151,106,389460,827,113,117,-14,8982,0.268373
219209,137295,101,437615,140,15,-4,4549,159,0.274449
269832,166661,107,328017,16,-15,8,6376,-19,0.283563
165721,104406,93,397202,102,-50,-28,2751,25,0.286602
110025,78691,88,233368,3,116,7,65,-12,0.299767
173810,106058,92,316535,43,25,2,3986,-17,0.301793
213824,151108,99,241923,-9,34,-32,5194,-50,0.308882
237960,146645,99,453721,129,2,29,218,-44,0.321034
327574,211279,107,354306,210,65,17,20,36,0.322047
198283,152391,96,232128,204,46,100,6996,13,0.322047
212546,125591,101,360996,55,45,-18,2585,205,0.325085
197433,115906,96,451965,117,97,31,3840,25,0.328123
202110,133986,95,301149,-73,-22,31,4791,39,0.332174
246882,194955,87,141062,35,66,-48,3406,8,0.3342
155449,112768,85,218886,88,26,29,2187,6,0.339263
189225,120613,100,426438,74,92,10,5049,-5,0.342302
329951,212018,107,319052,55,77,53,4924,48,0.350403
255719,187152,99,192286,7,47,-13,5237,-6,0.357492
315948,210928,102,268877,9,11,45,5276,-8,0.362556
368974,216537,108,376728,169,-15,82,9291,97,0.380785
136346,70412,99,684370,107,84,38,321,158,0.385849
274593,185913,101,324796,26,5,12,259,91,0.393951
216426,150566,99,335565,96,10,49,3924,-42,0.410154
119299,65044,95,446821,-4,-12,23,96,93,0.413192
251635,140967,109,401182,52,-4,42,177,42,0.416231
239221,148479,106,180490,7,-2,-65,5680,21,0.435472
290953,172997,105,561854,189,98,43,7770,57,0.438511
165713,96386,92,314026,63,-25,29,3418,57,0.447625
257413,156970,101,368378,75,54,29,8404,18,0.448638
283358,189161,97,285923,-29,3,-7,3499,123,0.448638
170922,121358,91,209571,110,31,27,5954,-5,0.458765
244247,164643,102,329901,34,33,58,5340,-31,0.460791
323904,200673,110,381832,167,58,-48,10870,18,0.47902
