"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
35047.6,24601,93365.3,17441.4,13636,83825.1,27.06,1415.56,3203.93,60703.3,70.5,3742.2,-3.36,0,0.252717
26691.7,12643,138359,17777.6,8583,135742,12.3,699.61,1526.5,73885.3,104.34,16848,15.68,16311.2,0.253783
28086.1,18911,97332.3,25237.1,18603,88907.2,50.02,2710.72,6494.72,74634.1,85.54,5994.9,17.92,21748.2,0.253783
27334.3,17427,102793,14956.8,11015,88988.6,30.34,2073.03,4473.72,74000.4,89.3,7893,39.2,40778,0.254849
32950.4,21178,101966,18370.5,12515,96198.7,3.28,1847.28,4134.02,70079.4,114.68,6824.7,11.76,19761.6,0.255916
29393,19340,99601.8,18591,14376,84751.1,-1.64,986.42,1925.97,65603.1,88.36,4131,14,18724.6,0.255916
27181.7,19125,93144,16453.3,11941,90300.9,3.28,1239.69,2888.31,67651.3,64.86,2261.7,3.92,4507.04,0.258048
42039.9,24814,111031,20814.1,14487,94158.2,17.22,3031.93,6870.97,62007.1,146.64,9502.2,37.52,48213.9,0.258048
16370.9,11970,89631,11509.5,9762,77267.8,16.4,456.66,1162.29,70075.3,53.58,4480.2,6.16,6511.32,0.258048
32695.6,19211,111537,18632,13334,91575.6,22.96,1305.05,2924.43,62489.6,104.34,4712.4,7.28,9542.04,0.258048
15425.2,8800,114876,24484.4,17072,93990.6,26.24,1450.39,3632.21,70866.5,63.92,3969.9,1.68,1835.01,0.258048
23629.9,14038,110316,15402.9,11102,90924.4,26.24,1603.9,3771.96,72069.7,135.36,13300.2,-8.4,0,0.259114
12828.2,8579,97996.1,23996.5,16599,94742.7,26.24,1326.12,2672.02,70553.4,71.44,2835,5.04,7027.69,0.260181
15979.6,8436,124139,30428.6,18360,108615,1.64,1977.57,4553.7,76462,103.4,8991.9,2.24,2621.44,0.260181
32569.6,21584,98891.8,16195.8,12224,86830,3.28,1841.69,4339.13,60158.5,94.94,6446.7,-0.56,0,0.261247
17630.2,12613,91604.9,13521.8,9497,93310,-4.1,2622.57,5934.86,75641.2,46.06,9688.5,-22.4,0,0.261247
21153.3,13435,103186,14587.8,10651,89759.3,7.38,887.09,1970.69,63746.9,106.22,16642.8,11.2,19315.9,0.262313
17556.7,9474,121448,30323.6,19038,104385,12.3,1558.75,3310.14,69485.4,27.26,5868,-3.36,0,0.26338
33407.5,21364,102481,24984.6,16440,99597.9,34.44,3829.15,8587.53,71293.7,101.52,5877,14.56,17039.4,0.26338
19400.5,12459,102049,12316.4,9574,84308.3,34.44,1140.79,2544.31,53945,59.22,4893.3,27.44,33302,0.264446
30475.9,18746,106544,25172.4,18350,89901.7,10.66,2030.89,5377.15,61867.4,85.54,5337,-8.4,0,0.264446
12927.6,9511,89078.2,19160.9,13755,91292.7,20.5,2158.17,5357.8,73457.9,90.24,10865.7,-9.52,0,0.265512
31025.4,19830,102536,11113.5,7538,96621.3,40.18,2277.28,5459.71,69034.8,124.08,7568.1,6.16,9611.95,0.265512
39606.7,22305,116371,26672.1,18093,96611.1,7.38,1870.93,4207.98,79359.5,134.42,16931.7,-14,0,0.266579
33460,23228,94404.8,12869.9,9681,87123.4,-7.38,1018.67,2429.07,65510.9,53.58,2923.2,-0.56,0,0.268711
26726,17543,99841.3,14471.4,10723,88444.9,22.14,2005.95,4594.55,64477.2,79.9,7139.7,-3.36,0,0.27191
19798.8,12658,102507,11004.4,7794,92530.7,7.38,571.9,1186.37,70617.6,85.54,9213.3,6.72,7103.26,0.27191
28247.1,19083,97007.9,14410.7,10539,89611.8,25.42,1084.03,2451.43,65547.5,75.2,3227.4,8.4,14486.9,0.274043
27294.4,17327,103236,12333.6,9538,84744.8,31.16,1297.31,2869.82,66812.3,89.3,7703.1,-1.12,0,0.274043
15077.3,10441,94637.1,12293.4,9821,82034.7,32.8,672.09,1726.45,65363.7,38.54,3329.1,-6.16,0,0.274043
27926.5,17909,102194,20176.9,15153,87264.2,16.4,147.06,209.41,51208.6,70.5,6172.2,-10.08,0,0.274043
