"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
14024.5,8740,105161,25205.2,19316,85516.9,44829.4,2546.46,3083.1,138109,28.2,490.5,25752.2,82697.7,0.222293
36696.1,22306,107815,26407.3,20062,86264,49378.8,6294.77,6876.99,139879,78.96,636.3,49617.7,79672.3,0.236904
11905.6,9531,81864,37390.4,28070,87296.6,177.94,418.39,678.54,49685.8,51.7,595.8,134.96,77585.4,0.254646
11871.3,7495,103802,24870.6,17803,91553.1,42891.7,2588.17,2960.12,91034.5,-10.34,383.4,38053.7,72608.6,0.273431
46035.5,26339,114544,25023.9,17071,96067.5,49985.6,8348.02,9906.34,141721,98.7,625.5,76613,81277.4,0.274475
67537.4,37914,116741,56231.5,41022,89834.4,1132.42,277.78,342.71,49471,109.04,387,108.64,59830.5,0.284911
45257.8,25486,116378,43980.7,28503,101123,95527.5,15785.7,18383.8,151853,130.66,1242.9,129661,84579.8,0.285955
39734.1,20426,127485,47975.7,26003,120914,32156.3,67.51,31.39,35468.5,64.86,279.9,64.4,76736.7,0.286998
32879.7,20834,103427,35266.6,22266,103801,64329,7590.36,10004,144219,56.4,716.4,70898.8,84006.9,0.29326
32291,19210,110163,41041.8,26867,100112,73959.9,126.85,157.38,47312.2,106.22,558,194.32,76257.2,0.295347
24615.5,14833,108758,29994.8,21189,92771.6,25.42,5279.11,6286.6,142807,15.98,143.1,46310.3,86781,0.296391
51622.9,28663,118032,30224.4,18523,106937,144910,19284.6,24127.7,171519,142.88,1612.8,159524,88458,0.302653
11666.2,9923,77048.9,31246.1,17447,117369,21.32,34.83,53.32,29866.5,19.74,59.4,46.48,32064.3,0.318307
38766,25648,99055.2,24185.1,17952,88290.6,52496.4,4594.98,5634.29,143231,52.64,747.9,54724.3,74179.1,0.323525
34858.6,25859,88344.2,14419.7,11839,79821.7,13.94,14.62,16.34,16997.8,11.28,9.9,8.96,12493.7,0.325613
35961.1,21310,110593,37558.5,26035,94543.2,62712.8,7125.1,8455.52,143597,71.44,656.1,83092.8,80800.8,0.329787
19941.6,13966,93576.7,24128.5,17466,90535.1,46554.7,4393.74,5455.84,132624,20.68,399.6,50595.4,78702.7,0.338136
30480.1,17994,111012,17419.3,13802,82711.8,11.48,15.91,37.84,20665.7,26.32,78.3,20.72,34818.1,0.338136
28595.7,16782,111670,30874.6,21927,92278.9,65755.8,7724.52,9106.54,150481,78.96,511.2,85561.8,79846.5,0.347529
32277.7,18971,111504,43572.3,32235,88585.6,96.76,314.33,320.35,93308.7,41.36,159.3,1296.4,72368.7,0.347529
38462.9,25473,98955.9,27379.8,19017,94355.7,54.12,41.28,115.67,52279.6,70.5,80.1,17.36,14775.4,0.347529
24684.1,16455,98310.4,26164.6,19295,88868.6,145.14,367.65,355.61,79000.9,35.72,152.1,2170.56,81799.8,0.348573
30548.7,15834,126439,39632.2,25459,102020,57491,6228.98,7251.09,138747,64.86,543.6,70845.6,84714.3,0.35066
26054.7,10454,163337,57292.6,22858,164263,60.68,88.58,72.24,34306.7,62.04,155.7,60.48,53562.4,0.354834
27232.8,12491,142881,32251.4,15718,134472,91.84,7850.08,9447.53,148052,47,127.8,89944.4,95937.6,0.355878
31565.1,17466,118439,28322,17959,103353,100.04,44.29,31.39,19972.6,93.06,139.5,67.2,62028.4,0.356922
53669,33084,106313,16651.7,13020,83816.3,37.72,5886.27,7254.53,148666,62.04,191.7,61385.5,72583.9,0.359009
40682.6,24591,108421,24958.3,17759,92103.7,59397.5,7090.7,8589.68,128965,64.86,648,86059.1,74145.7,0.359009
22169.7,11278,128827,54703,38158,93951.9,1135.7,1749.24,2031.32,130259,36.66,137.7,16961.8,90914.5,0.359009
22981.7,9566,157446,46068.4,27818,108532,56742.4,5703.95,6421.19,137343,63.92,517.5,64801,97396.9,0.360053
28980.7,19682,96498.3,16081.8,12630,83447.3,31811.1,3010.43,3536.32,113717,42.3,305.1,34939.5,72909.5,0.360053
36094.1,23722,99716,23837.4,17559,88969.1,-6.56,7.74,2.58,1989.21,32.9,77.4,-42.56,0,0.370489
16268.7,9335,114214,17622.6,13343,86555.9,310.78,91.59,91.16,36207.7,45.12,82.8,459.76,79500.9,0.376751
21809.9,14027,101899,20611.5,15398,87725.5,53.3,38.27,73.53,56033.3,31.02,83.7,89.6,59918.6,0.388231
27203.4,20443,87208.4,51710,44278,76536.2,12271.3,5037.02,6217.37,149035,16.92,767.7,54942.7,70061.2,0.390318
43741.6,26226,109306,47377.1,34678,89535.4,61161.3,7739.14,9686.61,140261,69.56,567.9,86283.7,86518.7,0.407016
23713.2,12903,120442,31332.2,22427,91558.7,53.3,50.74,30.1,29888.4,50.76,88.2,245.84,60342.2,0.410147
36327.2,23402,101732,21731.6,16142,88229.8,72.98,69.66,-6.02,0,47.94,99,71.68,45608,0.418496
29894.2,12178,160876,50061.8,23874,137424,97912.1,10827,12571,171852,52.64,842.4,104979,106096,0.424758
62092.8,32310,125946,56796.5,38222,97384.1,86106.6,17011.2,20488.2,157024,147.58,1094.4,160936,90590.7,0.429976
40936,23775,112840,44262,31346,92539.8,57040.8,6797.87,7839.76,148579,55.46,1103.4,60370.2,83079.8,0.438325
37520,24721,99466.5,19237.2,15061,83708.2,3.28,3.01,35.69,19655.3,60.16,60.3,1.12,1203.28,0.439368
46822.3,28046,109411,30162.1,21927,90149.2,100320,36.98,18.49,18933.8,58.28,795.6,48.72,38468.8,0.507204
54826.8,34774,103328,23461.8,19150,80292.2,355.06,125.99,188.34,38692.9,67.68,159.3,307.44,58232.3,0.522859
45269.7,28939,102519,19913.7,13606,95918.3,123,55.04,67.08,32564.1,72.38,114.3,102.48,65844.4,0.530164
21848.4,15944,89805.4,18028.5,14460,81709.3,15.58,13.76,18.49,19234.3,80.84,65.7,-14.56,0,0.542688
61409.6,34383,117050,57364.7,27675,135843,200.08,201.24,278.21,75032,127.84,325.8,292.32,73120.2,0.555211
39435.2,24922,103701,19611.1,14846,86571.1,48143.8,5710.83,6857.64,137438,31.02,530.1,60472.7,75186.2,0.564604
20836.9,11147,122505,46938.4,28374,108415,64504.5,130.29,60.2,26127.6,89.3,546.3,43.12,40370.2,0.568779
