"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
16465.4,10757,100314,21348.7,15093,92699.2,31.16,2012.83,2244.6,158858,49.82,3725.1,16634.8,81447.8,0.282374
30277.8,13215,150154,27783.2,12530,145315,11.48,1752.68,3886.34,91518.2,109.98,8286.3,61.6,61166.9,0.284555
36733.2,23934,100583,16313.9,12506,85490.8,-15.58,2028.31,4800.09,65022.5,92.12,3624.3,-8.96,0,0.285645
30816.1,17036,118547,28875.5,20120,94054.9,1.64,3174.26,3737.13,135164,91.18,8190,26572,85226,0.285645
28336.7,18438,100720,17744,13605,85473.7,15.58,2335.33,5423.59,65278.3,76.14,4059,43.12,56518.2,0.286735
50817.2,30979,107504,33274,23875,91335.8,29.52,2537.86,6210.92,67907.7,92.12,4069.8,27.44,38261.9,0.288916
16292.5,11454,93220.3,18673.9,14842,82455.9,1.64,674.67,1802.56,68761.7,35.72,4747.5,14.56,18709.9,0.291096
30686.6,19193,104782,23201.1,17661,86094,-15.58,25.8,27.09,15438,106.22,7182,17.36,23702.2,0.292187
42734.3,26797,104513,18438.5,14160,85338.1,7.38,12.9,-20.64,0,21.62,2169,-2.24,0,0.292187
26805.1,17383,101058,17355.3,11979,94949.3,24.6,52.46,64.07,26408.1,136.3,7647.3,28.56,31723.9,0.294367
45677.8,27939,107146,21042.8,15775,87420.8,37.72,2520.66,6048.81,69852.8,94,5100.3,5.6,7808.54,0.294367
32043.2,21537,97505.8,18782.9,15105,81493.4,45.92,2096.68,2175.37,108414,65.8,3645.9,24521.3,73323.3,0.294367
40035.8,26604,98623.8,23629.9,17813,86937.2,-5.74,1542.41,3670.05,62037.8,89.3,5250.6,44.8,59918.6,0.296548
31425.8,19581,105180,19233.9,14288,88221.9,15.58,2932.17,7609.71,66601.2,86.48,6480,-16.8,0,0.298728
40490.1,21720,122171,34986.1,17681,129679,69.7,1064.25,2317.27,82805.1,70.5,7542,3.36,4154.74,0.299818
31033.1,21159,96119.1,16737.8,13259,82731.1,-5.74,58.48,9.89,8204.44,61.1,88.2,61.04,43959.5,0.300909
27318.2,17287,103565,15016.7,11487,85673.5,33.62,2057.98,5323.4,63420.2,55.46,3119.4,-5.04,0,0.300909
45940.3,27035,111365,29332.2,19391,99134.5,-2.46,3881.18,4180.03,134088,127.84,5915.7,40590.5,79279.3,0.301999
22192.1,14193,102472,24691,18165,89080.7,-4.92,3240.91,7727.1,69379.8,89.3,5114.7,11.76,12634.5,0.301999
39510.8,19116,135456,37884.8,16364,151724,80897.9,7042.97,9364.54,117390,95.88,3920.4,59598,72694.7,0.30527
23020.9,14348,105150,29069,19160,99429.3,50.02,2896.05,6726.06,73295.5,85.54,4670.1,-19.04,0,0.30527
12880,8502,99283,18072.8,13882,85320.5,3.28,1213.89,2821.23,64783.5,37.6,2016.9,1.68,4234.63,0.30636
21760.2,13670,104322,27608.6,19142,94522.8,27.06,1906.62,4461.25,60834.9,89.3,4073.4,25.2,22317.7,0.30636
23230.9,16605,91686.9,12393.5,10153,79997.9,43291.1,1465.01,2235.57,123846,23.5,378,16487,70472.8,0.30745
34230,23559,95220.4,19712,14391,89767.5,11.48,1686.03,3827.43,64432.2,73.32,3125.7,-22.96,0,0.30745
38404.1,24040,104694,22775.5,16316,91481.7,-16.4,1931.56,4902,58870.7,94.94,3906,-36.4,0,0.30745
28641.9,17537,107035,27184.6,19485,91433,-13.94,3354.43,8176.02,65129.9,72.38,6870.6,-34.72,0,0.30745
38722.6,26585,95457,20211.4,15709,84319.3,6.56,3624.04,4010.18,121055,52.64,209.7,39431.8,74947.9,0.30854
37870,24767,100208,14024.5,10443,88011.8,65011.2,2924.43,3563.84,109807,51.7,682.2,33794.3,72457.8,0.309631
41932.8,26408,104063,21603.7,15388,92008.2,90846.2,1561.76,3859.68,63972.7,72.38,864.9,1.68,2975.69,0.309631
35312.2,21973,105321,21466.8,14877,94565.2,16.4,1297.31,3140.29,64172.8,82.72,4814.1,-37.52,0,0.309631
50675.1,27635,120175,29795.5,19811,98565.4,64.78,4158.53,9868.07,68319.7,155.1,9056.7,-19.6,0,0.310721
13250.3,7615,114034,25431.5,17391,95835.6,22.96,2418.32,4650.45,78569.7,67.68,4843.8,7153.44,83685.8,0.310721
23228.1,15315,99397.8,9947.42,8103,80453.4,10.66,1021.68,2450.57,58294.2,19.74,1887.3,-15.12,0,0.311811
47289.9,31885,97199,24873.1,19008,85757.6,7.38,1780.2,4666.79,60803.7,115.62,4898.7,10.64,21790.7,0.313992
37262.4,22853,106858,19547.2,13821,92688.1,1419.42,2968.72,6306.38,60805.5,91.18,4006.8,501.76,63115.8,0.318353
32149.6,20124,104699,21245.4,15736,88481,3.28,1301.61,2986.78,77063.6,81.78,7730.1,8.96,17794,0.318353
33263.3,21938,99368.4,21597.2,16494,85812.5,18.04,1202.71,2692.23,65395.9,52.64,4086.9,17.92,18942,0.319443
30902.2,17546,115423,39623.2,25710,101001,132.84,94.17,36.55,22597.6,78.96,8319.6,75.04,69265.1,0.320533
24841.6,15498,105047,18781.3,14195,86710.1,22.14,1486.08,3725.09,62229.8,68.62,4809.6,25.76,30694.7,0.321623
29330,19772,97216.8,14331.1,10760,87286.8,4.1,958.47,2272.12,62935.6,48.88,4549.5,2670.08,66661.5,0.322713
27559.7,17747,101772,22795.2,16783,89013,-7.38,2309.96,5456.27,62307.4,50.76,2348.1,30.8,32039.8,0.322713
39762.8,18608,140042,24107.2,11940,132319,58.22,2051.1,4996.17,80528.5,131.6,6721.2,107.52,56826.1,0.327074
31388,22321,92157.3,11930.2,8725,89611,7.38,874.19,2156.45,64385,62.04,2459.7,-16.8,0,0.328165
48193.6,28073,112507,31493.7,19844,104010,9.02,1832.66,4217.87,67967.1,141.94,7842.6,128.8,65945.6,0.328165
31936.8,21142,98997.7,19592.3,15566,82487.4,-1.64,1246.14,2781.24,63553.5,73.32,1959.3,19.04,47992.5,0.328165
27680.8,18578,97647.2,17063.4,12778,87514.9,55778.9,60.63,20.21,20067.9,46.06,563.4,9.52,13563.1,0.329255
26027.4,16904,100907,18909.2,14344,86393.8,34.44,1396.21,3139,67271.9,54.52,3431.7,7.84,13886.5,0.331435
27686.4,17122,105972,23616,16794,92157.8,36.08,2380.91,6086.65,67267.2,82.72,4866.3,-1.68,0,0.332526
38521.7,26031,96982.8,18614,14203,85889.4,24.6,950.3,2340.49,58836.3,78.02,3519,29.12,35340.9,0.332526
32803.4,19612,109617,27620.9,20232,89470.2,68.88,64.07,109.65,50605.8,101.52,4758.3,60.48,80890.1,0.333616
14196,8355,111352,15903.9,11935,87329.5,7.38,878.06,2054.54,63482.5,82.72,4105.8,0,0,0.334706
19506.9,11924,107213,29671.7,19424,100111,34.44,54.18,28.81,21954.6,67.68,4332.6,30.24,49545.2,0.335796
18626.3,10968,111296,23363.4,15752,97203.3,59.86,3319.17,7966.18,70531.2,40.42,4468.5,2.8,4959.48,0.336887
26179.3,18022,95199.6,18634.5,14510,84164.8,4.92,1185.08,3195.33,66479.1,27.26,2360.7,-16.24,0,0.336887
43654.8,28188,101496,22219.5,17032,85496.7,6.56,1164.44,2791.99,59292.2,50.76,4303.8,25.2,50045.7,0.336887
38515.4,24998,100974,28222.8,16494,112138,22.14,1477.05,3560.4,64599.8,100.58,6117.3,41.44,36700.2,0.337977
43335.6,27734,102403,21462.7,15962,88120.4,36.9,2576.99,5751.68,57618.8,70.5,4169.7,15.12,23593,0.337977
34656.3,23269,97607.8,14755.9,11041,87586.5,39.36,1944.46,4395.89,67578.9,104.34,4481.1,52.64,60523.1,0.339067
36301.3,24821,95848,15172.5,11633,85476,36.08,1142.08,2697.82,56832,120.32,3974.4,66.64,76619.6,0.339067
12358.5,7883,102743,20730.4,15302,88785,36.08,1139.93,2492.71,65818.8,31.02,1866.6,30.8,37379.8,0.341248
19842.2,12369,105132,12809.2,10037,83637,25.42,201.67,538.79,57790.7,36.66,215.1,52.64,44802.8,0.343428
16179.8,11164,94980.2,16552.5,13384,81051,41,842.37,2091.09,53911,63.92,2648.7,64.96,86882,0.344518
25827.9,15763,107382,31849.6,21631,96495.6,37.72,781.31,1617.23,62089.5,131.6,7649.1,63.28,65827.3,0.344518
31236.1,18458,110905,26887,19038,92555.2,39.36,4371.81,5577.1,137925,107.16,6152.4,32832.2,80651.2,0.345609
15962.8,11473,91182.6,14172.1,11217,82801.1,54.12,1429.32,3160.07,69942,48.88,3069,40.88,43919.9,0.346699
29438.5,20939,92138.2,12218.8,9814,81594.9,15.58,1221.63,2748.56,61964.1,50.76,2336.4,29.68,36020.5,0.347789
37202.9,25029,97412.2,23418.4,16753,91610.3,45.92,1140.36,2663.42,67812.7,142.88,7618.5,39.2,62658.8,0.347789
53980.5,33383,105972,26477,19439,89263.6,51.66,4766.55,8088.3,86627.7,132.54,7704.9,32964.4,75360.3,0.348879
28042.7,21083,87170.1,11130.7,8950,81503.9,28.7,755.51,1803.85,51781.5,35.72,2311.2,5.04,6606.03,0.34997
33627.3,18964,116210,21968.6,16136,89225.1,31.16,28.81,57.62,34328.9,72.38,5382,17.36,28442.6,0.34997
48087.9,30491,103358,22819.8,16639,89880.2,23.78,2314.26,5205.58,59444.7,93.06,5703.3,27.44,35966.2,0.34997
43643.6,26088,109638,25583.2,19345,86669.4,32.8,2285.88,5666.97,60923.6,112.8,5048.1,-13.44,0,0.34997
27617.8,16240,111451,23741.5,17692,87944.9,42.64,1523.49,3401.73,57428.1,76.14,5701.5,5.6,8340.95,0.35106
44146.2,25897,111718,30488.4,21412,93316.3,33.62,4356.33,9962.67,69950,125.02,9433.8,136.08,79626.2,0.35106
21387.8,15284,91708.4,39027.9,24400,104825,59.04,2001.22,4399.33,71400.3,73.32,5435.1,1.12,1835.01,0.35215
29533.7,19699,98254.8,14610.8,10939,87533.7,9.84,2317.27,2865.09,151303,49.82,3699.9,20114.6,74700.1,0.35215
55764.8,31623,115568,30094.8,19915,99035.6,35.26,2881,6941.06,68209.5,167.32,11541.6,62.72,38415.1,0.35324
30893.8,21179,95597.3,12953.5,10022,84706,15.58,43,-17.2,0,54.52,3954.6,43.68,34909.9,0.35324
30563.4,18325,109304,23221.6,17757,85704.2,9.02,1739.78,4242.81,64142.3,83.66,5515.2,8.96,10301.8,0.35324
28512.4,17974,103961,13030.6,10014,85278.1,25.42,1977.14,4152.51,65198.6,38.54,3739.5,-17.36,0,0.354331
59504.9,33373,116852,57326.2,42861,87653.8,32.8,454.08,835.92,61209.9,65.8,297.9,167.44,57152.9,0.354331
24988.6,17940,91285,13587.4,10700,83220.9,36.08,1104.24,2573.98,56267,55.46,4140.9,12.88,11723.7,0.355421
