"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
46419.8,28258,107657,28855.8,20242,93424.2,66105.9,101.48,127.71,55797.3,107.16,600.3,132.16,60994.6,0.143514
63427,35039,118632,45828.2,29378,102233,1487.48,239.51,261.87,86676.3,104.34,196.2,1599.36,80503.6,0.146634
57246.7,34111,109986,43566.6,28834,99021.3,112912,7294.09,8149.79,161752,133.48,1169.1,71817.8,80962.1,0.151833
28448,16347,114050,28202.3,19670,93963.6,62506.1,37.84,39.56,31617.1,63.92,591.3,103.04,57227.4,0.152873
54834.5,32101,111948,31557.7,20433,101217,94882.2,5154.84,6063.43,151035,143.82,907.2,53909,80659.8,0.155993
46865.7,25742,119314,40348.9,26739,98893.2,98659.9,5163.44,6239.73,157340,47,926.1,46567.9,82601.4,0.157033
36402.1,19572,121891,48883.5,20292,157876,196.8,153.51,66.65,45499.7,64.86,283.5,267.68,81216.1,0.159113
26261.9,16600,103681,23282.3,16593,91956,62023.2,3905.69,4647.44,124877,46.06,570.6,33948.3,80316.1,0.176792
34151.6,18780,119178,31967.7,22412,93478.3,256.66,83.85,116.53,55339.9,50.76,120.6,210.56,66025.2,0.176792
16417.1,12276,87643.5,12589.5,10480,78727.4,1779.4,264.45,308.31,77119.9,67.68,72.9,2335.76,71665,0.177832
27621.3,19215,94207.1,34207.9,22715,98694.8,83026.6,3197.05,4009.32,141800,99.64,742.5,34534.6,84633.2,0.197591
19568.5,12027,106630,25295.4,18726,88527,50276.7,2729.64,3396.14,145661,51.7,490.5,22759.5,78927.3,0.197591
18592.7,13248,91975.5,17425.8,12096,94412.9,76021.4,43,67.08,47784.3,63.92,543.6,54.88,59943.6,0.197591
12534.9,7854,104595,38710.6,25911,97909.6,1964.72,144.91,230.91,50611.8,54.52,232.2,122.64,69889.9,0.199671
26898.9,18406,95775.6,15085.5,11150,88667.8,41,21.5,27.09,27313.4,63.92,68.4,17.92,27962,0.200711
45684.1,30345,98663.8,24730.4,18413,88021,84198.4,91.59,67.08,34345,70.5,748.8,636.16,68571.4,0.202791
46071.2,29363,102827,23160.1,17499,86737.5,44.28,84.71,34.83,35665.9,69.56,80.1,50.4,52428.8,0.202791
31299.1,21194,96782.9,16264.7,12986,82082.5,45.1,36.98,-25.8,0,35.72,36.9,12.32,14680.1,0.206951
35602,21827,106896,34050.5,22787,97930.1,88660,5606.34,6335.19,148758,95.88,821.7,53337.8,80708,0.214231
33770.8,20474,108098,24281,18211,87380.2,74352.7,3283.91,4338.7,146341,63.92,639,32112.6,77261.8,0.216311
36339.1,20027,118915,40827.8,25382,105417,154.16,170.71,143.62,61118.7,87.42,146.7,858.48,87091.9,0.21839
29432.2,20588,93689,23474.1,18136,84825.8,68433.1,4197.66,5132.91,154237,33.84,621,37308.9,77334.2,0.22047
44133.6,23917,120932,40164.4,15853,166039,168.1,131.15,102.77,45507.7,94.94,184.5,311.36,91095,0.22151
40094.6,25629,102526,55076.1,37645,95881.8,107805,7216.69,9076.87,157371,141.94,1147.5,62681.9,84958.7,0.22151
39270.7,25489,100971,30655.7,23609,85096.9,188.6,68.8,43.43,29648.2,31.02,46.8,227.36,52281.6,0.22151
43623.3,23433,122003,44072.5,31485,91737,120305,172,129,57905.1,82.72,1168.2,761.6,72546.8,0.22359
31845.8,18953,110117,38117.7,27485,90888.9,59.04,71.81,88.58,50922.6,9.4,169.2,64.96,44346,0.22567
35403.2,26744,86755.3,18573,15813,76974.6,241.9,207.26,324.65,69303.8,80.84,431.1,974.96,63075,0.22983
