"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
404544,287649,96,195907,136652,97,-12,47,0,8,68,0,42,85,0,5017,3649,37,14,72,0,0
560838,325980,114,361524,222687,109,26,61,0,59,111,0,55,109,0,12,63,0,81,73,0,0.000991263
609040,356274,109,276500,173891,111,47,57,0,51,66,0,87,93,0,290,108,0,-18,43,0,0.000991263
332835,223562,103,223295,164929,99,-19,49,0,-10,91,0,58,75,0,-57,43,0,57,62,0,0.00198253
449987,291307,112,236498,169151,103,75,109,0,35,94,0,-2,42,0,-20,21,0,152,89,0,0.00396505
389638,285817,95,146957,106178,96,-42,38,0,66,62,0,73,81,0,24,43,0,0,35,0,0.00396505
381239,299755,95,104695,84888,90,6,51,0,7,55,0,7,45,0,1135,920,0,-26,43,0,0.00396505
230975,171237,89,233576,170367,92,1,61,0,-24,31,0,-12,56,0,68,78,0,-61,27,0,0.00396505
563465,325355,110,177764,102809,106,316,342,0,133,89,0,95,77,0,55,51,0,61,50,0,0.00396505
476616,292598,104,227292,171643,97,11,41,0,111,81,0,49,64,0,2113,1477,22,14,79,0,0.00396505
555858,317601,121,413568,263802,111,29,52,0,99,94,0,40,66,0,84,92,0,-38,59,0,0.00594758
447421,303441,111,186925,132736,102,58,57,0,18,61,0,-36,79,0,3,66,0,-39,48,0,0.00594758
441730,299947,99,233316,165960,96,63,71,0,29,38,0,25,48,0,3093,2203,31,133,96,0,0.00594758
467331,326672,111,180487,132885,100,47,70,0,10,43,0,39,73,0,-20,56,0,-7,38,0,0.00793011
421509,285810,105,170236,126108,101,-94,62,0,53,87,0,55,50,0,-15,51,0,-10,54,0,0.00793011
500582,324582,104,167864,120032,104,124,89,0,-3,43,0,5,51,0,19,58,0,29,42,0,0.00793011
456602,282388,102,216898,146530,103,30,56,0,-6,53,0,88,101,0,101,78,0,35,87,0,0.00793011
432543,277347,99,211855,143306,100,120,80,0,-9,73,0,-49,35,0,7,50,0,16,43,0,0.00793011
459364,300140,106,291872,196305,106,-9,41,0,42,62,0,45,57,0,-62,27,0,-50,70,0,0.00892137
430499,295296,110,200049,139251,102,59,62,0,-94,20,0,-67,70,0,52,63,0,78,43,0,0.00892137
419650,282070,100,202741,146448,98,61,68,0,68,52,0,-16,56,0,4322,3097,36,-29,34,0,0.00892137
