"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
547016,323086,114,247300,146682,111,285322,178505,110,509,411,0,232,262,0,236,299,0,55828,41355,92,0.0633376
345564,252457,96,129618,103019,90,12,35,0,-50,64,0,50,144,0,2360,1687,24,-7,48,0,0.0663066
395661,317345,91,136673,109680,89,67,51,0,29,59,0,22,46,0,-9,70,0,-120,11,0,0.0672962
294196,219284,92,148523,110046,90,-24,48,0,23,91,0,-4,47,0,17,44,0,-50,32,0,0.0672962
375505,248810,108,199982,144951,96,149,82,0,25,73,0,88,83,0,223,117,0,45,58,0,0.0682859
460500,290819,111,249496,174885,103,86,82,0,93,100,0,66,62,0,136,78,0,78,72,0,0.0692755
500363,333600,104,282533,196636,103,275,151,0,42,44,0,-26,38,0,3942,2684,36,53,67,0,0.0702652
584690,308212,124,369644,219251,116,132,97,0,138,104,0,27,68,0,-2,55,0,65,53,0,0.0712548
330244,232660,94,199267,146592,98,82,59,0,34,55,0,-73,61,0,-12,55,0,18,43,0,0.0712548
407853,243694,106,213906,148354,104,254,173,0,47,70,0,81,82,0,-10,58,0,12,51,0,0.0771927
445339,308047,111,180094,138956,99,-12,40,0,24,52,0,56,69,0,-7,60,0,-29,44,0,0.0781824
324766,224007,99,228074,155392,96,41,44,0,80,68,0,124,107,0,-8,52,0,46,81,0,0.0841203
323187,250326,90,133195,102924,90,1137,531,0,31,70,0,67,81,0,155,78,0,262,103,0,0.0890686
471396,301502,107,203838,139887,103,-19,63,0,33,43,0,-72,65,0,-53,41,0,-79,45,0,0.0900582
542503,342356,121,253810,165332,112,24,56,0,-10,84,0,0,37,0,4517,2828,41,88,52,0,0.0920375
455611,322871,109,183579,134908,98,178,88,0,17,46,0,55,73,0,-9,64,0,73,76,0,0.0920375
420879,261206,107,190643,123842,102,94,67,0,26,58,0,22,86,0,3982,2626,37,-44,48,0,0.0940168
367481,223840,99,207439,143522,98,27,40,0,21,81,0,32,69,0,4396,3118,37,43,68,0,0.0940168
409249,283081,96,204077,155754,96,16,69,0,45,92,0,-19,58,0,20,53,0,12,52,0,0.0940168
583902,383982,110,229138,162112,106,43,64,0,-9,37,0,-41,49,0,-29,55,0,208,102,0,0.0959961
402204,271210,104,233249,164914,102,4,60,0,38,54,0,-68,47,0,-40,60,0,114,80,0,0.0959961
501660,334597,107,250437,172744,104,116,66,0,11,69,0,-3,59,0,-72,45,0,76,65,0,0.0959961
364850,215800,103,244826,183917,99,117,76,0,67,93,0,96,91,0,72,66,0,50,41,0,0.0969858
452002,309330,104,284570,212051,102,60,71,0,1,55,0,73,73,0,64,78,0,-63,31,0,0.0999547
418851,266842,112,264011,186575,102,-72,41,0,58,87,0,30,62,0,-11,41,0,75,81,0,0.100944
398769,294132,98,139462,107909,94,71,70,0,62,70,0,74,142,0,104,107,0,38,80,0,0.101934
453107,326814,97,242191,182244,98,199,141,0,108,99,0,126,149,0,5095,3778,38,113,65,0,0.101934
408876,279994,98,185845,134991,97,66,85,0,-22,79,0,1,50,0,25,109,0,-32,26,0,0.104903
551693,337608,107,273932,187383,107,87,65,0,36,82,0,39,74,0,-24,27,0,44,76,0,0.104903
483651,320187,103,202837,137991,104,230996,152924,105,243,259,0,175,165,0,112,190,0,27367,21554,75,0.104903
393858,263928,108,212353,156133,98,-52,92,0,4,51,0,-19,48,0,-53,45,0,72,57,0,0.105893
451782,308745,110,135479,97715,103,47,70,0,102,82,0,0,43,0,-73,23,0,12,60,0,0.106882
468709,339928,107,140423,107231,98,94,51,0,-9,57,0,65,73,0,-18,67,0,-23,54,0,0.108862
