"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
382340,243800,106,409375,282015,104,87,102,0,65,65,0,6,73,0,-81,53,0,38,64,0,1.2215
454378,336931,103,186239,134607,100,38,99,0,28,61,0,-59,36,0,-48,33,0,23,52,0,1.22669
379632,291267,98,126316,94239,95,47,53,0,-46,51,0,-55,36,0,-23,75,0,-10,41,0,1.23084
345946,249825,100,212585,146058,103,40,51,0,-51,73,0,39,81,0,-84,27,0,25,33,0,1.23396
456400,282240,115,273258,166403,118,8,53,0,10,101,0,89,92,0,3375,1896,35,69,106,0,1.23603
494026,337671,110,190679,133844,102,75,72,0,-48,38,0,54,72,0,1244,878,0,-18,33,0,1.23707
482916,334141,112,155211,105639,100,-37,61,0,-12,37,0,26,59,0,2779,2053,29,-24,45,0,1.2433
456241,341890,103,228370,165180,98,65,65,0,16,73,0,39,92,0,22,80,0,-31,76,0,1.25056
526492,369762,106,160840,115542,103,244,104,0,-14,36,0,-33,34,0,-138,18,0,-16,52,0,1.25783
408667,306934,107,172350,131568,97,68,55,0,-12,53,0,63,86,0,55,47,0,68,53,0,1.26405
535823,328088,121,203734,135444,109,155,92,0,-9,80,0,-29,34,0,-49,53,0,-9,52,0,1.2682
498077,333022,114,292784,202147,106,655,589,0,57,56,0,20,89,0,63,92,0,32,64,0,1.26924
386843,273637,99,219583,165012,96,28,60,0,36,96,0,48,66,0,108,66,0,50,86,0,1.27236
495057,353108,104,154493,114810,98,77,62,0,-58,45,0,17,39,0,3716,2577,33,-50,35,0,1.27339
412834,285214,108,264456,189518,103,45,74,0,44,56,0,-37,50,0,27,58,0,24,40,0,1.37718
636764,338476,127,272819,157700,126,-12,87,0,-2,76,0,-16,84,0,25,67,0,-15,49,0,1.38133
259581,221766,88,102098,86183,84,103,78,0,-2,79,0,26,63,0,-25,39,0,-15,29,0,1.3834
276969,232994,92,75717,63991,85,-21,39,0,19,46,0,-63,21,0,88,89,0,-35,51,0,1.38963
471890,345844,110,182474,135880,99,-45,63,0,-2,49,0,30,79,0,43,44,0,-18,61,0,1.39378
392633,305349,98,140458,108183,96,27,48,0,-16,67,0,3,62,0,2263,1832,25,26,76,0,1.39689
390156,306781,104,128092,97532,95,-9,33,0,17,71,0,82,84,0,3348,2625,29,56,52,0,1.39793
450929,296590,108,249671,180337,102,39,81,0,-28,48,0,51,91,0,17,56,0,75,85,0,1.40001
341338,267326,100,112497,88474,93,79,97,0,-4,76,0,20,81,0,1813,1390,18,-19,45,0,1.40208
376909,229259,109,258178,174146,106,78,80,0,40,83,0,19,83,0,70,91,0,-68,32,0,1.4052
460677,335417,110,154339,111406,98,-5,45,0,-18,37,0,-40,45,0,-41,48,0,-142,5,0,1.41142
505550,345484,105,188933,130261,103,37,76,0,-12,53,0,40,50,0,6,69,0,58,68,0,1.41142
430708,315830,96,152093,108405,97,-61,50,0,36,64,0,-26,58,0,25,67,0,-2,42,0,1.41973
490206,341823,109,199341,137950,106,14,59,0,9,61,0,57,99,0,3637,2262,38,15,52,0,1.4218
423085,302424,109,202977,147551,98,70,59,0,26,56,0,101,84,0,-23,71,0,-55,28,0,1.42388
366380,278564,106,151232,113976,96,66,67,0,74,72,0,-15,44,0,-74,56,0,43,74,0,1.42491
432457,280383,109,198179,144241,100,135,53,0,-29,50,0,21,102,0,50,49,0,13,37,0,1.42595
387635,279797,107,310118,223240,98,131,111,0,11,58,0,21,73,0,59,67,0,-65,43,0,1.42699
477839,287839,116,322870,207834,105,72,74,0,-18,64,0,54,108,0,123,106,0,10,48,0,1.42907
289179,205364,95,185940,139198,97,65,73,0,-16,56,0,11,80,0,2191,1799,23,-62,56,0,1.43218
566061,367867,118,268016,176055,106,43,73,0,5,56,0,48,58,0,-22,58,0,41,46,0,1.43425
579695,384904,120,290874,194591,112,229656,148360,110,292,241,0,216,222,0,311,292,0,32233,23817,70,1.43529
371967,295138,104,117196,88691,91,21,90,0,-7,46,0,-20,41,0,2082,1634,21,-3,48,0,1.43633
