"FSC-A","FSC-H","FSC-W","SSC-A","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
69715.1,41050,111300,43055.9,683.76,394.8,334.32,73.47,209.7,14155.9,0.176485
55466.6,41451,87695.3,24785,254.52,117.18,126,38.13,30.6,4068.64,0.184574
46752.3,28230,108536,34033.4,238.56,108.36,34.44,42.78,255.6,713.9,0.185309
26427.8,24518,70640.8,25474.7,168.84,86.94,133.56,24.18,110.7,765.23,0.191927
34503.7,21330,106012,58385.9,614.04,199.5,308.28,59.52,744.3,1286.2,0.19303
83026.3,41754,130316,48930.8,2538.48,1322.58,1473.36,34.41,143.1,58305,0.193398
111262,69609,104751,101207,330.12,308.28,182.28,74.4,154.8,5704.12,0.194133
82862.5,44018,123369,61883.6,5913.6,1932.84,2362.5,66.03,452.7,82656.6,0.196339
41507.2,24015,113272,31982.2,121.8,118.02,32.34,45.57,103.5,913.91,0.19781
41708.1,30273,90291.1,33811.7,195.72,100.8,133.98,-5.58,195.3,382.91,0.204428
37018.8,31854,76162,18068.4,177.24,70.56,69.3,0,99,2252.03,0.207002
52036.6,33579,101560,34975.1,206.64,106.68,114.66,1.86,161.1,788.83,0.208105
107300,55776,126075,58044,4342.8,1139.04,1291.92,81.84,438.3,57244.7,0.208105
54356.4,41058,86762.6,16418.6,155.4,149.52,141.54,-0.93,106.2,3866.27,0.209208
63813.4,40812,102472,31543.7,89.04,57.12,71.4,28.83,147.6,1374.7,0.209943
64063.3,33681,124653,50862.8,314.16,412.44,478.38,22.32,203.4,12667.3,0.210311
26124.7,22427,76341.4,18476.6,95.76,55.86,64.68,3.72,85.5,768.77,0.213252
27540.1,20178,89447.3,27780.5,164.64,74.34,75.18,25.11,158.4,738.68,0.213252
50491.7,22856,144777,30033.4,1139.88,495.18,759.36,91.14,340.2,21153.9,0.21362
72575.3,42644,111535,43618.7,2583.84,1050,1227.24,70.68,175.5,45152.1,0.21362
43940.4,24253,118735,29341.2,115.08,70.14,59.22,-11.16,94.5,1259.65,0.213988
51086,41494,80685.7,22194.5,320.88,296.1,357.42,-0.93,93.6,12079.1,0.213988
29608.6,22123,87710.9,27355.4,95.76,226.8,93.66,-3.72,75.6,8485.97,0.214355
51044,33325,100382,35083.4,1628.76,743.4,889.56,25.11,148.5,31360.3,0.214355
83154.4,41144,132452,32444.2,2829.12,1580.46,1739.64,34.41,119.7,71807.1,0.215091
53583.6,34063,103093,57377.9,189.84,183.12,138.18,20.46,104.4,4422.64,0.217297
46145.4,30239,100009,45274.3,231.84,192.78,131.46,44.64,150.3,4088.7,0.217664
44067.1,34602,83462.9,22391,32.76,23.1,6.3,-1.86,29.7,1643.15,0.225018
33011.3,18649,116008,25618.3,89.88,76.44,55.02,26.97,72.9,1663.8,0.227224
72072,51249,92164,37279.2,216.72,258.72,166.32,23.25,104.4,10566.3,0.227224
52625.3,40873,84379.7,47716.2,192.36,137.34,56.28,25.11,176.4,2273.86,0.227592
64584.1,47782,88581.1,32312.3,440.16,322.14,342.72,67.89,206.1,12752.8,0.227592
32472.3,25239,84318.1,45265.9,129.36,107.94,98.28,26.04,108.9,1210.68,0.228327
47938.1,35641,88147.7,24604.4,319.2,185.64,182.7,20.46,42.3,7104.78,0.229062
70083.3,44223,103860,45175.2,1090.32,1085.28,1056.72,26.97,129.6,38796.6,0.229798
78419.6,38587,133188,76326.6,4106.76,1410.36,1493.1,108.81,279.9,55401,0.229798
48052.9,39224,80287.5,27907.3,166.32,217.14,200.76,35.34,114.3,7959.69,0.229798
37771.3,27635,89574.1,35379.1,240.24,47.04,106.68,35.34,296.1,672.01,0.230533
108160,60237,117675,49234.9,1075.2,652.68,883.26,34.41,134.1,27360.1,0.230533
45787,37177,80713.8,24271.8,108.36,75.18,139.86,15.81,78.3,969.96,0.231268
30366,14339,138787,58088.5,85.68,146.16,52.5,14.88,97.2,2980.09,0.232004
31124.8,27024,75480.9,44881.2,165.48,190.68,184.8,-2.79,134.1,5438.03,0.235681
34951.7,27418,83543.5,18496,142.8,157.92,210,1.86,54.9,6561.98,0.236416
39656.4,28873,90012.2,15944.9,505.68,520.38,770.28,35.34,63.9,20299.5,0.237151
39706.1,27923,93191.2,17013.4,473.76,391.86,426.3,10.23,50.4,14934.1,0.238622
72229.5,41356,114461,49818.7,183.12,156.66,41.58,51.15,87.3,3613.16,0.23899
40563.6,31052,85610.5,18737,-5.04,75.18,63.84,18.6,18,1856.14,0.240093
46235.7,26672,113606,29605.8,239.4,160.86,228.06,12.09,54.9,8114.27,0.24046
84125.3,47165,116893,25869.5,1260,404.04,493.92,24.18,144,21452.4,0.240828
118825,61981,125640,83743.8,10261.4,2388.96,2467.08,106.95,361.8,86963.6,0.241563
70644,48271,95911.1,30052.7,163.8,97.02,121.8,-2.79,113.4,3554.16,0.243769
92744.4,52561,115639,60994.1,672.84,356.58,265.86,98.58,161.1,15918.2,0.247079
29600.9,26013,74575.2,13894.4,18.48,16.8,-6.72,12.09,0.9,84.96,0.247446
69876.1,51873,88281,42048.7,587.16,368.34,308.28,49.29,85.5,15216.1,0.248549
46666.9,34115,89648.6,14492.5,1844.64,648.48,743.82,66.03,224.1,26051.4,0.249285
33784.8,26072,84923.3,23042.9,114.24,63.84,78.96,20.46,103.5,697.97,0.250388
72100,45301,104306,34739,204.96,246.96,291.9,22.32,399.6,7417.48,0.251123
37881.2,20982,118320,44539.3,1441.44,683.34,664.44,32.55,192.6,25852.6,0.251858
58655.8,41767,92036,22560.7,162.96,184.38,317.94,3.72,85.5,8370.33,0.253697
31793.3,23072,90308.8,23909.8,85.68,107.52,83.16,30.69,70.2,2922.27,0.253697
89964.7,50529,116684,27145.4,122.64,128.52,159.6,74.4,56.7,3704.02,0.254064
45817.1,26593,112912,35565.6,997.92,494.34,460.32,64.17,225,18590.9,0.254432
35055.3,25463,90224.4,27027.8,392.28,84,115.08,47.43,272.7,4656.28,0.255903
44053.8,32476,88899.8,27375.6,96.6,63.42,-24.78,10.23,130.5,248.39,0.257006
84037.8,47321,116386,50016.1,272.16,223.44,228.48,84.63,199.8,7054.04,0.258477
89751.2,54026,108872,47906,176.4,153.72,92.82,33.48,143.1,3387.19,0.258477
75879.3,44857,110860,26449.1,131.88,92.82,35.7,97.65,289.8,3311.67,0.259212
40637.8,32250,82581.1,42479.6,152.04,118.02,84.42,10.23,49.5,3658,0.259947
87987.2,48475,118955,47989.2,2026.08,1379.7,1485.12,94.86,147.6,58012.3,0.260315
57028.3,31530,118535,39265,173.88,217.14,233.52,66.96,96.3,7609.82,0.260315
98363.3,61021,105641,53773.4,393.96,454.02,435.12,22.32,144,19149.6,0.260683
68807.2,49518,91064.8,37274.2,242.76,182.28,141.12,1.86,87.3,8084.77,0.260683
48180.3,28982,108948,28959,197.4,182.7,227.22,35.34,84.6,5284.04,0.26105
53006.8,33910,102443,33534.5,514.08,299.88,368.34,79.05,107.1,12051.3,0.26105
44855.3,27043,108702,39154.9,510.72,455.28,342.72,66.03,178.2,16812,0.261418
51892.4,36054,94325.7,50473.9,392.28,181.86,154.98,37.2,390.6,1766.46,0.270242
42758.8,29310,95607,18895,316.68,287.28,378.84,37.2,108.9,10543.9,0.270242
88992.4,53078,109880,41758.9,267.12,259.14,211.26,109.74,222.3,9883.68,0.271345
68741.4,44751,100669,27673.8,789.6,419.16,463.26,64.17,126,20601,0.271713
43331.4,33925,83707.2,44024.4,246.96,131.04,70.14,35.34,119.7,3310.49,0.280905
34802.6,27698,82346.1,24218.9,47.88,59.22,-20.58,14.88,75.6,179.95,0.282376
64637.3,46776,90560.8,18203.6,422.52,206.64,285.18,32.55,90,8413.99,0.283846
26812.1,20698,84895,20790.8,96.6,44.52,16.8,13.02,92.7,387.63,0.284214
69407.8,55041,82642.2,24729.6,582.12,283.08,222.18,35.34,25.2,11269,0.284214
35274.4,22542,102553,20400.2,111.72,85.68,36.96,30.69,152.1,1954.08,0.285685
45183.6,31746,93276.4,27741.8,243.6,216.3,229.32,13.95,92.7,7898.92,0.286788
52329.9,31071,110376,39395.2,115.08,176.4,117.18,8.37,117.9,4689.32,0.287523
33733,20438,108167,48001.8,302.4,186.48,160.02,14.88,470.7,1562.91,0.288994
56517.3,31109,119063,45723.7,278.04,217.98,202.86,70.68,297,5678.16,0.288994
107455,73583,95703.7,70938.8,234.36,234.78,136.08,27.9,252.9,5309.41,0.289361
59680.6,39630,98693.6,32549.2,6631.8,2243.64,2367.54,86.49,387.9,90566.8,0.290464
86096.5,60994,92507.8,36511.4,298.2,269.64,199.08,78.12,170.1,8924.93,0.300392
30055.2,18129,108649,32143.4,57.12,62.16,25.2,13.95,65.7,397.07,0.308113
132416,75459,115003,103092,1147.44,1252.02,991.62,80.91,274.5,49441.4,0.308848
42170.1,31534,87640.6,23698.1,348.6,451.08,514.5,6.51,64.8,15321.7,0.309584
34488.3,26884,84073.2,38664.4,110.88,135.24,84.42,6.51,129.6,899.75,0.311422
26386.5,21931,78850.3,22768.2,243.6,133.98,127.26,-33.48,133.2,4580.17,0.31326
63373.1,44219,93923.9,20859.7,431.76,294.84,401.52,11.16,225,12098.5,0.31326
86228.8,63619,88827.1,20357.4,175.56,115.08,125.58,-3.72,90.9,4674.57,0.315099
71840.3,46662,100899,35238.8,158.76,184.8,125.16,109.74,211.5,7127.2,0.315834
64748.6,39106,108509,38540,1701.84,740.88,1020.18,63.24,228.6,35139.8,0.316202
31903.2,23665,88350.2,31547,374.64,599.34,616.56,12.09,131.4,25290.3,0.316202
125449,68951,119236,57242.6,3548.16,1336.02,1582.98,29.76,249.3,64764.9,0.316937
102727,63819,105491,42950,203.28,207.9,91.98,75.33,144.9,6615.67,0.316937
76818.7,56623,88910.7,30448.3,172.2,141.12,169.68,44.64,216.9,5116.48,0.318408
41031.9,30600,87878,26769.1,117.6,155.4,163.38,-1.86,67.5,5882.89,0.325026
58095.1,35147,108326,26993.4,636.72,394.8,599.76,7.44,110.7,22535.6,0.330173
87254.3,63328,90296.5,32012.4,729.12,685.44,777,41.85,94.5,35719.8,0.330909
33639.2,26567,82981.8,27613.3,127.68,77.7,31.5,18.6,214.2,287.92,0.33385
113646,63050,118127,53935.6,4796.4,932.82,1109.64,65.1,289.8,48519.8,0.336792
27704.6,18124,100179,16999.1,36.12,34.86,-15.96,-1.86,27.9,1982.99,0.340836
64489.6,40550,104227,64950.5,462.84,208.74,212.52,54.87,312.3,4777.82,0.340836
92794.8,50077,121441,69646.1,2175.6,971.88,887.88,49.29,227.7,37754.7,0.341204
46090.1,32962,91637.7,17253.6,235.2,190.68,356.58,76.26,76.5,10142.7,0.342307
53334.4,36653,95362.5,32749.1,665.28,388.08,386.4,39.99,96.3,15645.6,0.344145
50346.1,35681,92471.7,26112.2,442.68,324.24,341.46,21.39,189.9,12136.9,0.344881
65790.2,47239,91272.6,37203.6,1156.68,414.54,595.56,34.41,316.8,17425.1,0.346719
36706.6,22405,107369,37265.8,218.4,214.62,57.12,5.58,90,5213.24,0.34819
61723.9,39269,103011,22969.8,591.36,448.14,680.82,53.94,151.2,17396.1,0.348557
93204.3,46502,131354,54729.4,3447.36,1807.68,2230.2,83.7,398.7,91033.5,0.348557
104252,58080,117636,44268.8,1314.6,556.08,616.98,141.36,311.4,20178,0.348925
