"FSC-A","FSC-H","FSC-W","SSC-A","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
59280.9,46716,83162.8,18342.2,10967.9,1183.98,1561.56,26.97,108,60814.8,0.212797
38201.8,32302,77505.8,11932.2,1477.56,451.08,477.96,-8.37,7.2,13929.3,0.216909
52024.7,44932,75881.1,28332.4,2251.2,618.24,680.4,11.16,77.4,25755.3,0.218965
29321.6,21542,89203.4,61703.9,997.08,605.22,557.34,39.99,133.2,24495,0.218965
42729.4,28303,98940.5,29416,7704.48,1262.1,1475.46,68.82,201.6,44888.4,0.219993
36908.9,31171,77599.7,38242.7,-69.72,96.6,77.7,-13.02,120.6,683.81,0.219993
51795.1,29842,113747,34469.4,4923.24,927.78,856.38,0,113.4,34919.7,0.222049
93228.1,60482,101018,38326.7,33815,3642.66,4750.62,91.14,315.9,171051,0.224105
39819.5,28879,90363.6,16726.9,11045.2,1386,1953.84,54.87,197.1,55832.3,0.225134
67152.4,42498,103555,34865.9,12689,1674.12,1875.3,71.61,197.1,72541.1,0.226162
41381.2,29357,92378.6,24861.5,2921.52,536.76,630.42,37.2,115.2,23198.2,0.22719
64446.2,35171,120086,57246.8,8719.2,862.26,939.12,87.42,266.4,33727.3,0.229246
39270.7,21359,120495,54185.9,12621.8,1858.92,2126.46,49.29,181.8,83250.2,0.229246
96257,68316,92340,21948.4,4366.32,511.14,551.46,85.56,129.6,26188.9,0.229246
54738.6,32221,111336,27995.5,10250.5,1090.32,1309.56,39.99,138.6,53203.8,0.229246
87037.3,46776,121944,47629.7,10327.8,1486.38,1690.08,91.14,215.1,71816.6,0.229246
115445,66614,113577,45215.5,5605.32,686.28,756,79.98,247.5,26964.8,0.231302
99974.7,61124,107191,48106,5696.04,745.92,774.06,71.61,180,29960.2,0.231302
77320.6,49055,103298,27388.2,11295.5,1439.34,1834.56,75.33,219.6,61085.1,0.23233
53363.1,38379,91122.8,29184.1,3912.72,534.24,444.36,13.02,116.1,21252.4,0.23233
72818.2,47751,99939.5,29804,10453,1112.58,1324.68,92.07,185.4,49135.8,0.23233
57824.9,40495,93582.2,57592.9,6777.12,1369.2,1481.34,50.22,110.7,59639.6,0.234386
36633.8,25206,95248.5,17939,6901.44,621.18,644.28,15.81,60.3,28436.2,0.235414
